Lipid_name,Amine,Aldehyde,Isocyanide,Model_type,Delivery_target
AGILE_3CR_A1_C1_B1,AGILE_3CR_A1,AGILE_3CR_B1,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B2,AGILE_3CR_A1,AGILE_3CR_B2,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B3,AGILE_3CR_A1,AGILE_3CR_B3,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B4,AGILE_3CR_A1,AGILE_3CR_B4,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B5,AGILE_3CR_A1,AGILE_3CR_B5,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B6,AGILE_3CR_A1,AGILE_3CR_B6,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B7,AGILE_3CR_A1,AGILE_3CR_B7,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B8,AGILE_3CR_A1,AGILE_3CR_B8,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B9,AGILE_3CR_A1,AGILE_3CR_B9,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B10,AGILE_3CR_A1,AGILE_3CR_B10,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B11,AGILE_3CR_A1,AGILE_3CR_B11,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C1_B12,AGILE_3CR_A1,AGILE_3CR_B12,AGILE_3CR_C1,RAW264p7,macrophage
AGILE_3CR_A1_C2_B1,AGILE_3CR_A1,AGILE_3CR_B1,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B2,AGILE_3CR_A1,AGILE_3CR_B2,AGILE_3CR_C2,RAW264p7,macrophage
AGILE_3CR_A1_C2_B3,AGILE_3CR_A1,AGILE_3CR_B3,AGILE_3CR_C2,RAW264p7,macrophage
