smiles,quantified_delivery
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCC)C(=O)NCCCCCCCCCCCC,1.407894737
N(C)(C)CCNC(CCCCCOC(=O)CCC(C)CCCCC)C(=O)NCCCCCCCCCCCC,0.494360902
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC)C(=O)NCCCCCCCCCCCC,0.088345865
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCC,0.088345865
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCC,-0.216165414
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCC)C(=O)NCCCCCCCCCCCC,1.763157895
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC#C)C(=O)NCCCCCCCCCCCC,0.088345865
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC=C)C(=O)NCCCCCCCCCCCC,-1.028195489
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCC)C(=O)NCCCCCCCCCCCC,0.443609023
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCC,0.443609023
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCC,2.118421053
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC)C(=O)NCCCCCCCCCCCC,2.473684211
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCC)C(=O)NCCCCCCCCCCCCCC,0.139097744
N(C)(C)CCNC(CCCCCOC(=O)CCC(C)CCCCC)C(=O)NCCCCCCCCCCCCCC,-0.723684211
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC)C(=O)NCCCCCCCCCCCCCC,-0.317669173
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCCCC,1.154135338
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCCCC,-1.890977444
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCC)C(=O)NCCCCCCCCCCCCCC,1.204887218
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC#C)C(=O)NCCCCCCCCCCCCCC,0.139097744
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC=C)C(=O)NCCCCCCCCCCCCCC,1.255639098
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCC,1.357142857
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCC,-0.114661654
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCC,-2.093984962
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC)C(=O)NCCCCCCCCCCCCCC,2.016917293
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,2.52443609
N(C)(C)CCNC(CCCCCOC(=O)CCC(C)CCCCC)C(=O)NCCCCCCCCCCCCCCCC,2.067669173
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,0.595864662
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,1.407894737
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,2.067669173
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,0.139097744
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC#C)C(=O)NCCCCCCCCCCCCCCCC,0.95112782
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC=C)C(=O)NCCCCCCCCCCCCCCCC,1.255639098
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,1.966165414
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,1.763157895
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,2.473684211
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC)C(=O)NCCCCCCCCCCCCCCCC,2.727443609
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,2.778195489
N(C)(C)CCNC(CCCCCOC(=O)CCC(C)CCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,4.30075188
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,2.067669173
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,1.763157895
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,2.016917293
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,3.590225564
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC#C)C(=O)NCCCCCCCCCCCCCCCCCC,1.357142857
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC=C)C(=O)NCCCCCCCCCCCCCCCCCC,2.930451128
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,2.930451128
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,8.665413534
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,0.748120301
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC)C(=O)NCCCCCCCCCCCCCCCCCC,0.95112782
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,5.062030075
N(C)(C)CCNC(CCCCCOC(=O)CCC(C)CCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,5.011278195
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,3.691729323
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,3.133458647
N(C)(C)CCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,3.387218045
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,4.25
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC#C)C(=O)NCCCCCCCC/C=C\CCCCCCCC,3.539473684
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCC=C)C(=O)NCCCCCCCC/C=C\CCCCCCCC,2.828947368
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,3.488721805
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,4.656015038
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,7.498120301
N(C)(C)CCNC(CCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC)C(=O)NCCCCCCCC/C=C\CCCCCCCC,6.584586466
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCC)C(=O)NCCCCCCCCCCCC,1.103383459
C1CCCN1CCCNC(CCCCCOC(=O)CCC(C)CCCCC)C(=O)NCCCCCCCCCCCC,4.656015038
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCCC)C(=O)NCCCCCCCCCCCC,1.052631579
C1CCCN1CCCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCC,0.545112782
C1CCCN1CCCNC(CCCCCOC(=O)/C=C/CCCCCCC)C(=O)NCCCCCCCCCCCC,0.595864662
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCCCC)C(=O)NCCCCCCCCCCCC,0.646616541
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCCC#C)C(=O)NCCCCCCCCCCCC,-0.317669173
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCCC=C)C(=O)NCCCCCCCCCCCC,1.052631579
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCCCCC)C(=O)NCCCCCCCCCCCC,0.646616541
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCC,2.930451128
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCCCCCCCCCCC)C(=O)NCCCCCCCCCCCC,1.864661654
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC)C(=O)NCCCCCCCCCCCC,2.828947368
C1CCCN1CCCNC(CCCCCOC(=O)CCCCCCCC)C(=O)NCCCCCCCCCCCCCC,2.52443609
