Amine_name,Tail_name,Lipid_name
Akinc_Michael_Amine_87,Akinc_Michael_O15,Akinc_Michael_Amine_87_O15
Akinc_Michael_Amine_96,Akinc_Michael_N12,Akinc_Michael_Amine_96_N12
Akinc_Michael_Amine_98,Akinc_Michael_N12,Akinc_Michael_Amine_98_N12
Akinc_Michael_Amine_64,Akinc_Michael_N15,Akinc_Michael_Amine_64_N15
Akinc_Michael_Amine_64,Akinc_Michael_N16,Akinc_Michael_Amine_64_N16
Akinc_Michael_Amine_26,Akinc_Michael_O14,Akinc_Michael_Amine_26_O14
Akinc_Michael_Amine_32,Akinc_Michael_N12,Akinc_Michael_Amine_32_N12
Akinc_Michael_Amine_95,Akinc_Michael_N12,Akinc_Michael_Amine_95_N12
Akinc_Michael_Amine_99,Akinc_Michael_N12,Akinc_Michael_Amine_99_N12
Akinc_Michael_Amine_100,Akinc_Michael_N12,Akinc_Michael_Amine_100_N12
Akinc_Michael_Amine_11,Akinc_Michael_N14,Akinc_Michael_Amine_11_N14
Akinc_Michael_Amine_87,Akinc_Michael_N14,Akinc_Michael_Amine_87_N14
Akinc_Michael_Amine_109,Akinc_Michael_N14,Akinc_Michael_Amine_109_N14
Akinc_Michael_Amine_62,Akinc_Michael_N16,Akinc_Michael_Amine_62_N16
Akinc_Michael_Amine_63,Akinc_Michael_N16,Akinc_Michael_Amine_63_N16
Akinc_Michael_Amine_81,Akinc_Michael_O12,Akinc_Michael_Amine_81_O12
Akinc_Michael_Amine_90,Akinc_Michael_O12,Akinc_Michael_Amine_90_O12
Akinc_Michael_Amine_95,Akinc_Michael_O12,Akinc_Michael_Amine_95_O12
Akinc_Michael_Amine_24,Akinc_Michael_O12,Akinc_Michael_Amine_24_O12
Akinc_Michael_Amine_103,Akinc_Michael_O13,Akinc_Michael_Amine_103_O13
Akinc_Michael_Amine_26,Akinc_Michael_O15,Akinc_Michael_Amine_26_O15
Akinc_Michael_Amine_20,Akinc_Michael_N14,Akinc_Michael_Amine_20_N14
Akinc_Michael_Amine_103,Akinc_Michael_N14,Akinc_Michael_Amine_103_N14
Akinc_Michael_Amine_94,Akinc_Michael_N15,Akinc_Michael_Amine_94_N15
Akinc_Michael_Amine_96,Akinc_Michael_N15,Akinc_Michael_Amine_96_N15
Akinc_Michael_Amine_91,Akinc_Michael_O12,Akinc_Michael_Amine_91_O12
Akinc_Michael_Amine_93,Akinc_Michael_O12,Akinc_Michael_Amine_93_O12
Akinc_Michael_Amine_94,Akinc_Michael_O12,Akinc_Michael_Amine_94_O12
Akinc_Michael_Amine_21,Akinc_Michael_O13,Akinc_Michael_Amine_21_O13
Akinc_Michael_Amine_22,Akinc_Michael_O13,Akinc_Michael_Amine_22_O13
Akinc_Michael_Amine_11,Akinc_Michael_O14,Akinc_Michael_Amine_11_O14
Akinc_Michael_Amine_13,Akinc_Michael_O14,Akinc_Michael_Amine_13_O14
Akinc_Michael_Amine_25,Akinc_Michael_O14,Akinc_Michael_Amine_25_O14
Akinc_Michael_Amine_86,Akinc_Michael_O14,Akinc_Michael_Amine_86_O14
Akinc_Michael_Amine_99,Akinc_Michael_O14,Akinc_Michael_Amine_99_O14
Akinc_Michael_Amine_103,Akinc_Michael_O14,Akinc_Michael_Amine_103_O14
Akinc_Michael_Amine_24,Akinc_Michael_O14,Akinc_Michael_Amine_24_O14
Akinc_Michael_Amine_1,Akinc_Michael_O15,Akinc_Michael_Amine_1_O15
Akinc_Michael_Amine_31,Akinc_Michael_O15,Akinc_Michael_Amine_31_O15
Akinc_Michael_Amine_77,Akinc_Michael_O15,Akinc_Michael_Amine_77_O15
Akinc_Michael_Amine_81,Akinc_Michael_O15,Akinc_Michael_Amine_81_O15
Akinc_Michael_Amine_96,Akinc_Michael_O15,Akinc_Michael_Amine_96_O15
Akinc_Michael_Amine_100,Akinc_Michael_O15,Akinc_Michael_Amine_100_O15
Akinc_Michael_Amine_109,Akinc_Michael_O15,Akinc_Michael_Amine_109_O15
Akinc_Michael_Amine_1,Akinc_Michael_N12,Akinc_Michael_Amine_1_N12
Akinc_Michael_Amine_6,Akinc_Michael_N12,Akinc_Michael_Amine_6_N12
Akinc_Michael_Amine_20,Akinc_Michael_N12,Akinc_Michael_Amine_20_N12
Akinc_Michael_Amine_28,Akinc_Michael_N12,Akinc_Michael_Amine_28_N12
Akinc_Michael_Amine_60,Akinc_Michael_N12,Akinc_Michael_Amine_60_N12
Akinc_Michael_Amine_61,Akinc_Michael_N12,Akinc_Michael_Amine_61_N12
Akinc_Michael_Amine_86,Akinc_Michael_N12,Akinc_Michael_Amine_86_N12
Akinc_Michael_Amine_87,Akinc_Michael_N12,Akinc_Michael_Amine_87_N12
Akinc_Michael_Amine_91,Akinc_Michael_N12,Akinc_Michael_Amine_91_N12
Akinc_Michael_Amine_93,Akinc_Michael_N12,Akinc_Michael_Amine_93_N12
Akinc_Michael_Amine_94,Akinc_Michael_N12,Akinc_Michael_Amine_94_N12
Akinc_Michael_Amine_103,Akinc_Michael_N12,Akinc_Michael_Amine_103_N12
Akinc_Michael_Amine_10,Akinc_Michael_N14,Akinc_Michael_Amine_10_N14
Akinc_Michael_Amine_15,Akinc_Michael_N14,Akinc_Michael_Amine_15_N14
Akinc_Michael_Amine_22,Akinc_Michael_N14,Akinc_Michael_Amine_22_N14
Akinc_Michael_Amine_28,Akinc_Michael_N14,Akinc_Michael_Amine_28_N14
Akinc_Michael_Amine_32,Akinc_Michael_N14,Akinc_Michael_Amine_32_N14
Akinc_Michael_Amine_33,Akinc_Michael_N14,Akinc_Michael_Amine_33_N14
Akinc_Michael_Amine_63,Akinc_Michael_N14,Akinc_Michael_Amine_63_N14
Akinc_Michael_Amine_86,Akinc_Michael_N14,Akinc_Michael_Amine_86_N14
Akinc_Michael_Amine_90,Akinc_Michael_N14,Akinc_Michael_Amine_90_N14
Akinc_Michael_Amine_91,Akinc_Michael_N14,Akinc_Michael_Amine_91_N14
Akinc_Michael_Amine_90,Akinc_Michael_N15,Akinc_Michael_Amine_90_N15
Akinc_Michael_Amine_100,Akinc_Michael_N15,Akinc_Michael_Amine_100_N15
Akinc_Michael_Amine_103,Akinc_Michael_N15,Akinc_Michael_Amine_103_N15
Akinc_Michael_Amine_1,Akinc_Michael_N16,Akinc_Michael_Amine_1_N16
Akinc_Michael_Amine_60,Akinc_Michael_N16,Akinc_Michael_Amine_60_N16
Akinc_Michael_Amine_61,Akinc_Michael_N16,Akinc_Michael_Amine_61_N16
Akinc_Michael_Amine_70,Akinc_Michael_N16,Akinc_Michael_Amine_70_N16
Akinc_Michael_Amine_75,Akinc_Michael_N16,Akinc_Michael_Amine_75_N16
Akinc_Michael_Amine_76,Akinc_Michael_N16,Akinc_Michael_Amine_76_N16
Akinc_Michael_Amine_77,Akinc_Michael_N16,Akinc_Michael_Amine_77_N16
Akinc_Michael_Amine_79,Akinc_Michael_N16,Akinc_Michael_Amine_79_N16
Akinc_Michael_Amine_100,Akinc_Michael_N16,Akinc_Michael_Amine_100_N16
Akinc_Michael_Amine_103,Akinc_Michael_N16,Akinc_Michael_Amine_103_N16
Akinc_Michael_Amine_24,Akinc_Michael_N18,Akinc_Michael_Amine_24_N18
Akinc_Michael_Amine_1,Akinc_Michael_O10,Akinc_Michael_Amine_1_O10
Akinc_Michael_Amine_6,Akinc_Michael_O10,Akinc_Michael_Amine_6_O10
Akinc_Michael_Amine_7,Akinc_Michael_O10,Akinc_Michael_Amine_7_O10
Akinc_Michael_Amine_10,Akinc_Michael_O10,Akinc_Michael_Amine_10_O10
Akinc_Michael_Amine_11,Akinc_Michael_O10,Akinc_Michael_Amine_11_O10
Akinc_Michael_Amine_13,Akinc_Michael_O10,Akinc_Michael_Amine_13_O10
Akinc_Michael_Amine_15,Akinc_Michael_O10,Akinc_Michael_Amine_15_O10
Akinc_Michael_Amine_17,Akinc_Michael_O10,Akinc_Michael_Amine_17_O10
Akinc_Michael_Amine_20,Akinc_Michael_O10,Akinc_Michael_Amine_20_O10
Akinc_Michael_Amine_21,Akinc_Michael_O10,Akinc_Michael_Amine_21_O10
Akinc_Michael_Amine_22,Akinc_Michael_O10,Akinc_Michael_Amine_22_O10
Akinc_Michael_Amine_25,Akinc_Michael_O10,Akinc_Michael_Amine_25_O10
Akinc_Michael_Amine_26,Akinc_Michael_O10,Akinc_Michael_Amine_26_O10
Akinc_Michael_Amine_28,Akinc_Michael_O10,Akinc_Michael_Amine_28_O10
Akinc_Michael_Amine_31,Akinc_Michael_O10,Akinc_Michael_Amine_31_O10
Akinc_Michael_Amine_32,Akinc_Michael_O10,Akinc_Michael_Amine_32_O10
Akinc_Michael_Amine_33,Akinc_Michael_O10,Akinc_Michael_Amine_33_O10
Akinc_Michael_Amine_34,Akinc_Michael_O10,Akinc_Michael_Amine_34_O10
Akinc_Michael_Amine_36,Akinc_Michael_O10,Akinc_Michael_Amine_36_O10
Akinc_Michael_Amine_38,Akinc_Michael_O10,Akinc_Michael_Amine_38_O10
Akinc_Michael_Amine_60,Akinc_Michael_O10,Akinc_Michael_Amine_60_O10
Akinc_Michael_Amine_61,Akinc_Michael_O10,Akinc_Michael_Amine_61_O10
Akinc_Michael_Amine_62,Akinc_Michael_O10,Akinc_Michael_Amine_62_O10
Akinc_Michael_Amine_63,Akinc_Michael_O10,Akinc_Michael_Amine_63_O10
Akinc_Michael_Amine_64,Akinc_Michael_O10,Akinc_Michael_Amine_64_O10
Akinc_Michael_Amine_70,Akinc_Michael_O10,Akinc_Michael_Amine_70_O10
Akinc_Michael_Amine_75,Akinc_Michael_O10,Akinc_Michael_Amine_75_O10
Akinc_Michael_Amine_76,Akinc_Michael_O10,Akinc_Michael_Amine_76_O10
Akinc_Michael_Amine_77,Akinc_Michael_O10,Akinc_Michael_Amine_77_O10
Akinc_Michael_Amine_79,Akinc_Michael_O10,Akinc_Michael_Amine_79_O10
Akinc_Michael_Amine_80,Akinc_Michael_O10,Akinc_Michael_Amine_80_O10
Akinc_Michael_Amine_81,Akinc_Michael_O10,Akinc_Michael_Amine_81_O10
Akinc_Michael_Amine_82,Akinc_Michael_O10,Akinc_Michael_Amine_82_O10
Akinc_Michael_Amine_86,Akinc_Michael_O10,Akinc_Michael_Amine_86_O10
Akinc_Michael_Amine_87,Akinc_Michael_O10,Akinc_Michael_Amine_87_O10
Akinc_Michael_Amine_90,Akinc_Michael_O10,Akinc_Michael_Amine_90_O10
Akinc_Michael_Amine_91,Akinc_Michael_O10,Akinc_Michael_Amine_91_O10
Akinc_Michael_Amine_93,Akinc_Michael_O10,Akinc_Michael_Amine_93_O10
Akinc_Michael_Amine_94,Akinc_Michael_O10,Akinc_Michael_Amine_94_O10
Akinc_Michael_Amine_95,Akinc_Michael_O10,Akinc_Michael_Amine_95_O10
Akinc_Michael_Amine_96,Akinc_Michael_O10,Akinc_Michael_Amine_96_O10
Akinc_Michael_Amine_98,Akinc_Michael_O10,Akinc_Michael_Amine_98_O10
Akinc_Michael_Amine_99,Akinc_Michael_O10,Akinc_Michael_Amine_99_O10
Akinc_Michael_Amine_100,Akinc_Michael_O10,Akinc_Michael_Amine_100_O10
Akinc_Michael_Amine_103,Akinc_Michael_O10,Akinc_Michael_Amine_103_O10
Akinc_Michael_Amine_109,Akinc_Michael_O10,Akinc_Michael_Amine_109_O10
Akinc_Michael_Amine_24,Akinc_Michael_O10,Akinc_Michael_Amine_24_O10
Akinc_Michael_Amine_1,Akinc_Michael_O12,Akinc_Michael_Amine_1_O12
Akinc_Michael_Amine_6,Akinc_Michael_O12,Akinc_Michael_Amine_6_O12
Akinc_Michael_Amine_7,Akinc_Michael_O12,Akinc_Michael_Amine_7_O12
Akinc_Michael_Amine_10,Akinc_Michael_O12,Akinc_Michael_Amine_10_O12
Akinc_Michael_Amine_11,Akinc_Michael_O12,Akinc_Michael_Amine_11_O12
Akinc_Michael_Amine_13,Akinc_Michael_O12,Akinc_Michael_Amine_13_O12
Akinc_Michael_Amine_15,Akinc_Michael_O12,Akinc_Michael_Amine_15_O12
Akinc_Michael_Amine_17,Akinc_Michael_O12,Akinc_Michael_Amine_17_O12
Akinc_Michael_Amine_20,Akinc_Michael_O12,Akinc_Michael_Amine_20_O12
Akinc_Michael_Amine_21,Akinc_Michael_O12,Akinc_Michael_Amine_21_O12
Akinc_Michael_Amine_22,Akinc_Michael_O12,Akinc_Michael_Amine_22_O12
Akinc_Michael_Amine_25,Akinc_Michael_O12,Akinc_Michael_Amine_25_O12
Akinc_Michael_Amine_26,Akinc_Michael_O12,Akinc_Michael_Amine_26_O12
Akinc_Michael_Amine_28,Akinc_Michael_O12,Akinc_Michael_Amine_28_O12
Akinc_Michael_Amine_31,Akinc_Michael_O12,Akinc_Michael_Amine_31_O12
Akinc_Michael_Amine_32,Akinc_Michael_O12,Akinc_Michael_Amine_32_O12
Akinc_Michael_Amine_33,Akinc_Michael_O12,Akinc_Michael_Amine_33_O12
Akinc_Michael_Amine_34,Akinc_Michael_O12,Akinc_Michael_Amine_34_O12
Akinc_Michael_Amine_36,Akinc_Michael_O12,Akinc_Michael_Amine_36_O12
Akinc_Michael_Amine_38,Akinc_Michael_O12,Akinc_Michael_Amine_38_O12
Akinc_Michael_Amine_60,Akinc_Michael_O12,Akinc_Michael_Amine_60_O12
Akinc_Michael_Amine_61,Akinc_Michael_O12,Akinc_Michael_Amine_61_O12
Akinc_Michael_Amine_62,Akinc_Michael_O12,Akinc_Michael_Amine_62_O12
Akinc_Michael_Amine_63,Akinc_Michael_O12,Akinc_Michael_Amine_63_O12
Akinc_Michael_Amine_64,Akinc_Michael_O12,Akinc_Michael_Amine_64_O12
Akinc_Michael_Amine_70,Akinc_Michael_O12,Akinc_Michael_Amine_70_O12
Akinc_Michael_Amine_75,Akinc_Michael_O12,Akinc_Michael_Amine_75_O12
Akinc_Michael_Amine_76,Akinc_Michael_O12,Akinc_Michael_Amine_76_O12
Akinc_Michael_Amine_77,Akinc_Michael_O12,Akinc_Michael_Amine_77_O12
Akinc_Michael_Amine_79,Akinc_Michael_O12,Akinc_Michael_Amine_79_O12
Akinc_Michael_Amine_80,Akinc_Michael_O12,Akinc_Michael_Amine_80_O12
Akinc_Michael_Amine_82,Akinc_Michael_O12,Akinc_Michael_Amine_82_O12
Akinc_Michael_Amine_86,Akinc_Michael_O12,Akinc_Michael_Amine_86_O12
Akinc_Michael_Amine_87,Akinc_Michael_O12,Akinc_Michael_Amine_87_O12
Akinc_Michael_Amine_96,Akinc_Michael_O12,Akinc_Michael_Amine_96_O12
Akinc_Michael_Amine_98,Akinc_Michael_O12,Akinc_Michael_Amine_98_O12
Akinc_Michael_Amine_99,Akinc_Michael_O12,Akinc_Michael_Amine_99_O12
Akinc_Michael_Amine_100,Akinc_Michael_O12,Akinc_Michael_Amine_100_O12
Akinc_Michael_Amine_103,Akinc_Michael_O12,Akinc_Michael_Amine_103_O12
Akinc_Michael_Amine_109,Akinc_Michael_O12,Akinc_Michael_Amine_109_O12
Akinc_Michael_Amine_1,Akinc_Michael_O13,Akinc_Michael_Amine_1_O13
Akinc_Michael_Amine_6,Akinc_Michael_O13,Akinc_Michael_Amine_6_O13
Akinc_Michael_Amine_7,Akinc_Michael_O13,Akinc_Michael_Amine_7_O13
Akinc_Michael_Amine_10,Akinc_Michael_O13,Akinc_Michael_Amine_10_O13
Akinc_Michael_Amine_11,Akinc_Michael_O13,Akinc_Michael_Amine_11_O13
Akinc_Michael_Amine_13,Akinc_Michael_O13,Akinc_Michael_Amine_13_O13
Akinc_Michael_Amine_15,Akinc_Michael_O13,Akinc_Michael_Amine_15_O13
Akinc_Michael_Amine_17,Akinc_Michael_O13,Akinc_Michael_Amine_17_O13
Akinc_Michael_Amine_20,Akinc_Michael_O13,Akinc_Michael_Amine_20_O13
Akinc_Michael_Amine_25,Akinc_Michael_O13,Akinc_Michael_Amine_25_O13
Akinc_Michael_Amine_26,Akinc_Michael_O13,Akinc_Michael_Amine_26_O13
Akinc_Michael_Amine_28,Akinc_Michael_O13,Akinc_Michael_Amine_28_O13
Akinc_Michael_Amine_31,Akinc_Michael_O13,Akinc_Michael_Amine_31_O13
Akinc_Michael_Amine_32,Akinc_Michael_O13,Akinc_Michael_Amine_32_O13
Akinc_Michael_Amine_33,Akinc_Michael_O13,Akinc_Michael_Amine_33_O13
Akinc_Michael_Amine_34,Akinc_Michael_O13,Akinc_Michael_Amine_34_O13
Akinc_Michael_Amine_36,Akinc_Michael_O13,Akinc_Michael_Amine_36_O13
