Lipid_name,Delivery_target,Comment,Amine,Tail,Model_type,Route_of_administration,Experiment_weight,Value_name,molecular_weight
2A1-SCC-4,igrov1,Ranked 1-4 by heatmap color,2A1,SCC-4,IGROV1,in_vitro,1,Discretized_luminescence,820.298693
2A1-SCC-8,igrov1,Ranked 1-4 by heatmap color,2A1,SCC-8,IGROV1,in_vitro,1,Discretized_luminescence,932.4238935
2A1-SCC-10,igrov1,Ranked 1-4 by heatmap color,2A1,SCC-10,IGROV1,in_vitro,1,Discretized_luminescence,988.4864938
2A1-SCC-12,igrov1,Ranked 1-4 by heatmap color,2A1,SCC-12,IGROV1,in_vitro,1,Discretized_luminescence,1044.549094
2A1-SCC-14,igrov1,Ranked 1-4 by heatmap color,2A1,SCC-14,IGROV1,in_vitro,1,Discretized_luminescence,1100.611694
2A1-SCC-EH,igrov1,Ranked 1-4 by heatmap color,2A1,SCC-EH,IGROV1,in_vitro,1,Discretized_luminescence,932.4238935
2A1-SCC-PH,igrov1,Ranked 1-4 by heatmap color,2A1,SCC-PH,IGROV1,in_vitro,1,Discretized_luminescence,988.4864938
2A1-SCC-BO,igrov1,Ranked 1-4 by heatmap color,2A1,SCC-BO,IGROV1,in_vitro,1,Discretized_luminescence,1044.549094
2A2-SCC-4,igrov1,Ranked 1-4 by heatmap color,2A2,SCC-4,IGROV1,in_vitro,1,Discretized_luminescence,860.3299931
2A2-SCC-8,igrov1,Ranked 1-4 by heatmap color,2A2,SCC-8,IGROV1,in_vitro,1,Discretized_luminescence,972.4551936
2A2-SCC-10,igrov1,Ranked 1-4 by heatmap color,2A2,SCC-10,IGROV1,in_vitro,1,Discretized_luminescence,1028.517794
2A2-SCC-12,igrov1,Ranked 1-4 by heatmap color,2A2,SCC-12,IGROV1,in_vitro,1,Discretized_luminescence,1084.580394
2A2-SCC-14,igrov1,Ranked 1-4 by heatmap color,2A2,SCC-14,IGROV1,in_vitro,1,Discretized_luminescence,1140.642994
2A2-SCC-EH,igrov1,Ranked 1-4 by heatmap color,2A2,SCC-EH,IGROV1,in_vitro,1,Discretized_luminescence,972.4551936
2A2-SCC-PH,igrov1,Ranked 1-4 by heatmap color,2A2,SCC-PH,IGROV1,in_vitro,1,Discretized_luminescence,1028.517794
2A2-SCC-BO,igrov1,Ranked 1-4 by heatmap color,2A2,SCC-BO,IGROV1,in_vitro,1,Discretized_luminescence,1084.580394
2A3-SCC-4,igrov1,Ranked 1-4 by heatmap color,2A3,SCC-4,IGROV1,in_vitro,1,Discretized_luminescence,889.3565422
2A3-SCC-8,igrov1,Ranked 1-4 by heatmap color,2A3,SCC-8,IGROV1,in_vitro,1,Discretized_luminescence,1001.481743
2A3-SCC-10,igrov1,Ranked 1-4 by heatmap color,2A3,SCC-10,IGROV1,in_vitro,1,Discretized_luminescence,1057.544343
2A3-SCC-12,igrov1,Ranked 1-4 by heatmap color,2A3,SCC-12,IGROV1,in_vitro,1,Discretized_luminescence,1113.606943
2A3-SCC-14,igrov1,Ranked 1-4 by heatmap color,2A3,SCC-14,IGROV1,in_vitro,1,Discretized_luminescence,1169.669544
2A3-SCC-EH,igrov1,Ranked 1-4 by heatmap color,2A3,SCC-EH,IGROV1,in_vitro,1,Discretized_luminescence,1001.481743
2A3-SCC-PH,igrov1,Ranked 1-4 by heatmap color,2A3,SCC-PH,IGROV1,in_vitro,1,Discretized_luminescence,1057.544343
2A3-SCC-BO,igrov1,Ranked 1-4 by heatmap color,2A3,SCC-BO,IGROV1,in_vitro,1,Discretized_luminescence,1113.606943
2A4-SCC-4,igrov1,Ranked 1-4 by heatmap color,2A4,SCC-4,IGROV1,in_vitro,1,Discretized_luminescence,857.293942
2A4-SCC-8,igrov1,Ranked 1-4 by heatmap color,2A4,SCC-8,IGROV1,in_vitro,1,Discretized_luminescence,969.4191425
2A4-SCC-10,igrov1,Ranked 1-4 by heatmap color,2A4,SCC-10,IGROV1,in_vitro,1,Discretized_luminescence,1025.481743
2A4-SCC-12,igrov1,Ranked 1-4 by heatmap color,2A4,SCC-12,IGROV1,in_vitro,1,Discretized_luminescence,1081.544343
2A4-SCC-14,igrov1,Ranked 1-4 by heatmap color,2A4,SCC-14,IGROV1,in_vitro,1,Discretized_luminescence,1137.606943
2A4-SCC-EH,igrov1,Ranked 1-4 by heatmap color,2A4,SCC-EH,IGROV1,in_vitro,1,Discretized_luminescence,969.4191425
2A4-SCC-PH,igrov1,Ranked 1-4 by heatmap color,2A4,SCC-PH,IGROV1,in_vitro,1,Discretized_luminescence,1025.481743
2A4-SCC-BO,igrov1,Ranked 1-4 by heatmap color,2A4,SCC-BO,IGROV1,in_vitro,1,Discretized_luminescence,1081.544343
2A5-SCC-4,igrov1,Ranked 1-4 by heatmap color,2A5,SCC-4,IGROV1,in_vitro,1,Discretized_luminescence,892.298693
2A5-SCC-8,igrov1,Ranked 1-4 by heatmap color,2A5,SCC-8,IGROV1,in_vitro,1,Discretized_luminescence,1004.423894
2A5-SCC-10,igrov1,Ranked 1-4 by heatmap color,2A5,SCC-10,IGROV1,in_vitro,1,Discretized_luminescence,1060.486494
2A5-SCC-12,igrov1,Ranked 1-4 by heatmap color,2A5,SCC-12,IGROV1,in_vitro,1,Discretized_luminescence,1116.549094
2A5-SCC-14,igrov1,Ranked 1-4 by heatmap color,2A5,SCC-14,IGROV1,in_vitro,1,Discretized_luminescence,1172.611694
2A5-SCC-EH,igrov1,Ranked 1-4 by heatmap color,2A5,SCC-EH,IGROV1,in_vitro,1,Discretized_luminescence,1004.423894
2A5-SCC-PH,igrov1,Ranked 1-4 by heatmap color,2A5,SCC-PH,IGROV1,in_vitro,1,Discretized_luminescence,1060.486494
2A5-SCC-BO,igrov1,Ranked 1-4 by heatmap color,2A5,SCC-BO,IGROV1,in_vitro,1,Discretized_luminescence,1116.549094
3A1-SCC-4,igrov1,Ranked 1-4 by heatmap color,3A1,SCC-4,IGROV1,in_vitro,1,Discretized_luminescence,1257.471515
