Lipid_name,Delivery_target,Comment,Total_radiance,Isocyanide,Amine,Aldehyde,Carboxylic_acid
A1I18R1C18,liver,,281000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18
A1I18R1C18-1,liver,,16100000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-1
A1I18R1C18-2,liver,,8310000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-2
A1I18R1C18-3,liver,,72800000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C18-3
A1I18R1C23,liver,,28600000,He_4CR_I18,He_4CR_R1,He_4CR_A1,He_4CR_C23
A1I18R2C18,liver,,825000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18
A1I18R2C18-1,liver,,971000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-1
A1I18R2C18-2,liver,,2200000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-2
A1I18R2C18-3,liver,,2200000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C18-3
A1I18R2C23,liver,,10100000,He_4CR_I18,He_4CR_R2,He_4CR_A1,He_4CR_C23
A1I18R3C18,liver,,188000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18
A1I18R3C18-1,liver,,415000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-1
A1I18R3C18-2,liver,,4910000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-2
A1I18R3C18-3,liver,,822000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C18-3
A1I18R3C23,liver,,1870000,He_4CR_I18,He_4CR_R3,He_4CR_A1,He_4CR_C23
A1I18R5C18,liver,,57000,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18
A1I18R5C18-1,liver,,38900,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18-1
A1I18R5C18-2,liver,,73900,He_4CR_I18,He_4CR_R5,He_4CR_A1,He_4CR_C18-2
