Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Comment
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
4CR_Ket_Optimized,25,15,58.5,1.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
T1-5,38.7,26.4,32.5,2.4,DOTAP,10,
T1-5,39.6,26,32.1,2.3,DOTAP,10,
T1-5,39.8,25.9,31.9,2.3,DOTAP,10,
T1-5,34.7,28.1,34.7,2.5,DOTAP,10,
T1-5,39.9,25.9,31.9,2.3,DOTAP,10,
T1-5,39.8,25.9,31.9,2.3,DOTAP,10,
T1-5,35.3,27.9,34.3,2.5,DOTAP,10,
T1-5,33.3,28.7,35.4,2.6,DOTAP,10,
T1-5,31.3,29.6,36.4,2.6,DOTAP,10,
T1-5,31.3,29.6,36.5,2.6,DOTAP,10,
T1-5,38,26.7,32.9,2.4,DOTAP,10,
T1-5,37.9,26.7,33,2.4,DOTAP,10,
T1-5,37.7,26.8,33.1,2.4,DOTAP,10,
T1-5,38,26.7,32.9,2.4,DOTAP,10,
T1-5,38,26.7,32.9,2.4,DOTAP,10,
T1-5,36.9,27.2,33.5,2.4,DOTAP,10,
T1-5,38.7,26.4,32.5,2.4,DOTAP,10,
T1-5,33.7,28.6,35.2,2.5,DOTAP,10,
T1-5,34.4,28.2,34.8,2.5,DOTAP,10,
T1-5,33.6,28.6,35.2,2.6,DOTAP,10,
T1-5,38.8,26.4,32.5,2.4,DOTAP,10,
T1-5,38,26.7,32.9,2.4,DOTAP,10,
T1-5,33.8,28.5,35.2,2.5,DOTAP,10,
T1-5,36.1,27.5,33.9,2.5,DOTAP,10,
T1-5,37.8,26.8,33,2.4,DOTAP,10,
T1-5,36.1,27.5,33.9,2.5,DOTAP,10,
T1-5,37.8,26.8,33,2.4,DOTAP,10,
T1-5,38.5,26.5,32.7,2.4,DOTAP,10,
T1-5,32.9,28.9,35.6,2.6,DOTAP,10,
4CR_Ket_Optimized,25,15,58.5,1.5,DOPE,10,
4CR_Ket_Optimized,25,15,58.5,1.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
4CR_Ket_Optimized,25,15,58.5,1.5,DOPE,10,
4CR_Ket_Optimized,25,15,58.5,1.5,DOPE,10,
4CR_Ket_Optimized,25,15,58.5,1.5,DOPE,10,
4CR_Ket_Optimized,25,15,58.5,1.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
Kauffman,35,16,46.5,2.5,DOPE,10,
