Lipid_name,4CR_Lipid_name,Amine,Isocyanide,Aldehyde,Carboxylic_acid,Model_type,Delivery_target,Route_of_administration,Experiment_weight,screen_id
IR_4CR_aldehyde_211-9,211-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_121-9,121-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_131-9,131-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_323-23,323-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_231-9,231-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_623-23,623-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_421-9,421-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_441-9,441-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_111-9,111-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_411-9,411-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_114-23,114-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_321-23,321-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_243-23,243-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_442-23,442-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_633-23,633-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_223-23,223-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_242-23,242-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_444-23,444-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_311-23,311-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_112-23,112-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_634-23,634-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_443-23,443-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_632-23,632-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_624-23,624-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_712-23,712-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_311-9,311-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_612-23,612-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_723-23,723-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_642-23,642-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_234-23,234-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_124-23,124-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_244-23,244-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_614-23,614-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_113-23,113-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_611-23,611-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_124-9,124-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_631-23,631-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_613-23,613-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_543-23,543-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_631-9,631-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_341-9,341-9,IR_4CR_Amine_9,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_512-23,512-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_213-23,213-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_2,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_714-23,714-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_1,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_143-23,143-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_544-23,544-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_423-23,423-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_4,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_333-23,333-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_641-23,641-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_1,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_542-23,542-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_5,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_122-23,122-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_2,IR_4CR_Aldehyde_1,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_644-23,644-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_6,IR_4CR_Carboxylic_acid_4,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_324-23,324-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_4,IR_4CR_Aldehyde_3,IR_4CR_Carboxylic_acid_2,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
IR_4CR_aldehyde_733-23,733-23,IR_4CR_Amine_23,IR_4CR_Isocyanide_3,IR_4CR_Aldehyde_7,IR_4CR_Carboxylic_acid_3,HeLa,hela,in_vitro,1,hela_4cr_aldehyde
