Lipid_name,Amine,Ketone,Isocyanide,Is_cyclic,Model_type,Delivery_target
LM_3CR_A12Iso52DC18,LM_3CR_A12,LM_3CR_2DC18,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A2Iso52DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A3Iso52DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A5Iso52DC18,LM_3CR_A5,LM_3CR_2DC18,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A1Iso52DC18,LM_3CR_A1,LM_3CR_2DC18,LM_3CR_Iso5,Yes,HeLa,hela
LM_3CR_A4Iso52DC18,LM_3CR_A4,LM_3CR_2DC18,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A6Iso52DC18,LM_3CR_A6,LM_3CR_2DC18,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A8Iso52DC18,LM_3CR_A8,LM_3CR_2DC18,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A7Iso52DC18,LM_3CR_A7,LM_3CR_2DC18,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A11Iso52DC18,LM_3CR_A11,LM_3CR_2DC18,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A9Iso52DC18,LM_3CR_A9,LM_3CR_2DC18,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A10Iso52DC18,LM_3CR_A10,LM_3CR_2DC18,LM_3CR_Iso5,No,HeLa,hela
LM_3CR_A3Iso62DC18,LM_3CR_A3,LM_3CR_2DC18,LM_3CR_Iso6,No,HeLa,hela
LM_3CR_A2Iso62DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A12Iso62DC18,LM_3CR_A12,LM_3CR_2DC18,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A5Iso62DC18,LM_3CR_A5,LM_3CR_2DC18,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A1Iso62DC18,LM_3CR_A1,LM_3CR_2DC18,LM_3CR_Iso6,Yes,HeLa,hela
LM_3CR_A2Iso92DC18,LM_3CR_A2,LM_3CR_2DC18,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A1Iso92DC18,LM_3CR_A1,LM_3CR_2DC18,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A5Iso92DC18,LM_3CR_A5,LM_3CR_2DC18,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A12Iso92DC18,LM_3CR_A12,LM_3CR_2DC18,LM_3CR_Iso9,No,HeLa,hela
LM_3CR_A9Iso92DC18,LM_3CR_A9,LM_3CR_2DC18,LM_3CR_Iso9,No,HeLa,hela
