Amine,Tail,Lipid_name,Num tails,MolWt
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_3T,Lee_unsat_dendrimer_2A2-3T,2,758.101
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_3T,Lee_unsat_dendrimer_2A9-3T,2,688.994
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_3T,Lee_unsat_dendrimer_2A9V-3T,2,703.021
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_3T,Lee_unsat_dendrimer_3A4-3T,3,1019.44
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_3T,Lee_unsat_dendrimer_4A1-3T,4,1402.01
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_3T,Lee_unsat_dendrimer_4A3-3T,4,1346.93
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_3T,Lee_unsat_dendrimer_6A3-3T,6,1948.758
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_3C,Lee_unsat_dendrimer_2A2-3C,2,758.101
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_3C,Lee_unsat_dendrimer_2A9-3C,2,688.994
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_3C,Lee_unsat_dendrimer_2A9V-3C,2,703.021
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_3C,Lee_unsat_dendrimer_3A4-3C,3,1019.44
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_3C,Lee_unsat_dendrimer_4A1-3C,4,1402.01
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_3C,Lee_unsat_dendrimer_4A3-3C,4,1346.93
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_3C,Lee_unsat_dendrimer_6A3-3C,6,1948.758
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_SC8,Lee_unsat_dendrimer_2A2-SC8,2,818.241
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_SC8,Lee_unsat_dendrimer_2A9-SC8,2,749.134
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_SC8,Lee_unsat_dendrimer_2A9V-SC8,2,763.161
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_SC8,Lee_unsat_dendrimer_3A4-SC8,3,1109.65
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_SC8,Lee_unsat_dendrimer_4A1-SC8,4,1522.29
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_SC8,Lee_unsat_dendrimer_4A3-SC8,4,1467.21
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_SC8,Lee_unsat_dendrimer_6A3-SC8,6,2129.178
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_Ne-SH,Lee_unsat_dendrimer_2A2-Ne-SH,2,866.285
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_Ne-SH,Lee_unsat_dendrimer_2A9-Ne-SH,2,797.178
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_Ne-SH,Lee_unsat_dendrimer_2A9V-Ne-SH,2,811.205
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_Ne-SH,Lee_unsat_dendrimer_3A4-Ne-SH,3,1181.716
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_Ne-SH,Lee_unsat_dendrimer_4A1-Ne-SH,4,1618.378
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_Ne-SH,Lee_unsat_dendrimer_4A3-Ne-SH,4,1563.298
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_Ne-SH,Lee_unsat_dendrimer_6A3-Ne-SH,6,2273.31
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_4T,Lee_unsat_dendrimer_2A2-4T,2,758.101
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_4T,Lee_unsat_dendrimer_2A9-4T,2,688.994
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_4T,Lee_unsat_dendrimer_2A9V-4T,2,703.021
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_4T,Lee_unsat_dendrimer_3A4-4T,3,1019.44
Lee_unsat_dendrimer_4A1,Lee_unsat_dendrimer_4T,Lee_unsat_dendrimer_4A1-4T,4,1402.01
Lee_unsat_dendrimer_4A3,Lee_unsat_dendrimer_4T,Lee_unsat_dendrimer_4A3-4T,4,1346.93
Lee_unsat_dendrimer_6A3,Lee_unsat_dendrimer_4T,Lee_unsat_dendrimer_6A3-4T,6,1948.758
Lee_unsat_dendrimer_2A2,Lee_unsat_dendrimer_4C,Lee_unsat_dendrimer_2A2-4C,2,758.101
Lee_unsat_dendrimer_2A9,Lee_unsat_dendrimer_4C,Lee_unsat_dendrimer_2A9-4C,2,688.994
Lee_unsat_dendrimer_2A9V,Lee_unsat_dendrimer_4C,Lee_unsat_dendrimer_2A9V-4C,2,703.021
Lee_unsat_dendrimer_3A4,Lee_unsat_dendrimer_4C,Lee_unsat_dendrimer_3A4-4C,3,1019.44
