Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Comment
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.163915524,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.251864601,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.335505304,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.632751038,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.761613008,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.870610402,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.973688373,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.071316382,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.2940723,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.375682854,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.453437075,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.730885286,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.922697118,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.023003148,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.118074746,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.208311228,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.245692009,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.329631646,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.409550722,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.694293675,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.862981018,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.966468094,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.064473163,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.157420581,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.251864601,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.335505304,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.415146647,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.698954655,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.870610402,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.973688373,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.071316382,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.163915524,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.294203468,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.37580775,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.453556139,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.730984677,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.922858763,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.023156247,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.11821996,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.20844915,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.20844915,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.294203468,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.37580775,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.666217991,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.81688305,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.922858763,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.023156247,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.11821996,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.372887241,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.450772056,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.525058621,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.79078769,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.019575931,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.114824123,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.205223894,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.291136254,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.20844915,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.294203468,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.37580775,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.666217991,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.81688305,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.922858763,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.023156247,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.11821996,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.33537733,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.415024719,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.49095248,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.762233412,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.973531089,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.071167304,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.163774026,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.25173012,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.288183125,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.370075481,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.448091752,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.726423842,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.915438158,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.01612829,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.11155429,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.202118459,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.294203468,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.37580775,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.453556139,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.730984677,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.922858763,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.023156247,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.11821996,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.20844915,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.335505304,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.415146647,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.49106878,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.762330692,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.973688373,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.071316382,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.163915524,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.251864601,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.251864601,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.335505304,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.415146647,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.698954655,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.870610402,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,2.973688373,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.071316382,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.163915524,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.412295574,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.488349352,
Lipid_plus_DOPE,56.52173913,43.47826087,0,0,DOPE,3.560929594,
