Amine,Tail,Lipid_name,Linker,MolWt
Li_Thiolyne_1,Li_Thiolyne_C10,Li_Thiolyne_A1C10,Li_Thiolyne_A,516.946
Li_Thiolyne_1,Li_Thiolyne_C11,Li_Thiolyne_A1C11,Li_Thiolyne_A,545
Li_Thiolyne_1,Li_Thiolyne_C12,Li_Thiolyne_A1C12,Li_Thiolyne_A,573.054
Li_Thiolyne_1,Li_Thiolyne_C16,Li_Thiolyne_A1C16,Li_Thiolyne_A,685.27
Li_Thiolyne_1,Li_Thiolyne_C6,Li_Thiolyne_A1C6,Li_Thiolyne_A,404.73
Li_Thiolyne_1,Li_Thiolyne_C7,Li_Thiolyne_A1C7,Li_Thiolyne_A,432.784
Li_Thiolyne_1,Li_Thiolyne_C8,Li_Thiolyne_A1C8,Li_Thiolyne_A,460.838
Li_Thiolyne_1,Li_Thiolyne_C9,Li_Thiolyne_A1C9,Li_Thiolyne_A,488.892
Li_Thiolyne_2,Li_Thiolyne_C10,Li_Thiolyne_A2C10,Li_Thiolyne_A,558.983
Li_Thiolyne_2,Li_Thiolyne_C11,Li_Thiolyne_A2C11,Li_Thiolyne_A,587.037
Li_Thiolyne_2,Li_Thiolyne_C12,Li_Thiolyne_A2C12,Li_Thiolyne_A,615.091
Li_Thiolyne_2,Li_Thiolyne_C16,Li_Thiolyne_A2C16,Li_Thiolyne_A,727.307
Li_Thiolyne_2,Li_Thiolyne_C6,Li_Thiolyne_A2C6,Li_Thiolyne_A,446.767
Li_Thiolyne_2,Li_Thiolyne_C7,Li_Thiolyne_A2C7,Li_Thiolyne_A,474.821
Li_Thiolyne_2,Li_Thiolyne_C8,Li_Thiolyne_A2C8,Li_Thiolyne_A,502.875
Li_Thiolyne_2,Li_Thiolyne_C9,Li_Thiolyne_A2C9,Li_Thiolyne_A,530.929
Li_Thiolyne_3,Li_Thiolyne_C10,Li_Thiolyne_A3C10,Li_Thiolyne_A,542.984
Li_Thiolyne_3,Li_Thiolyne_C11,Li_Thiolyne_A3C11,Li_Thiolyne_A,571.038
