smiles,quantified_delivery
CN(C)CCNC(=O)CCC(SCCCCCCCCCC)CSCCCCCCCCCC,0.01740295
CN(C)CCNC(=O)CCC(SCCCCCCCCCCC)CSCCCCCCCCCCC,9.55421687
CN(C)CCNC(=O)CCC(SCCCCCCCCCCCC)CSCCCCCCCCCCCC,3.49799197
CN(C)CCNC(=O)CCC(SCCCCCCCCCCCCCCCC)CSCCCCCCCCCCCCCCCC,0.46987952
CN(C)CCNC(=O)CCC(SCCCCCC)CSCCCCCC,0.01740295
CN(C)CCNC(=O)CCC(SCCCCCCC)CSCCCCCCC,3.49799197
CN(C)CCNC(=O)CCC(SCCCCCCCC)CSCCCCCCCC,0.01740295
CN(C)CCNC(=O)CCC(SCCCCCCCCC)CSCCCCCCCCC,0.01740295
C1COCCN1CCNC(=O)CCC(SCCCCCCCCCC)CSCCCCCCCCCC,0.01740295
C1COCCN1CCNC(=O)CCC(SCCCCCCCCCCC)CSCCCCCCCCCCC,0.01740295
C1COCCN1CCNC(=O)CCC(SCCCCCCCCCCCC)CSCCCCCCCCCCCC,0.01740295
C1COCCN1CCNC(=O)CCC(SCCCCCCCCCCCCCCCC)CSCCCCCCCCCCCCCCCC,0.01740295
C1COCCN1CCNC(=O)CCC(SCCCCCC)CSCCCCCC,0.01740295
C1COCCN1CCNC(=O)CCC(SCCCCCCC)CSCCCCCCC,0.01740295
C1COCCN1CCNC(=O)CCC(SCCCCCCCC)CSCCCCCCCC,0.01740295
C1COCCN1CCNC(=O)CCC(SCCCCCCCCC)CSCCCCCCCCC,0.01740295
C1CCCN1CCNC(=O)CCC(SCCCCCCCCCC)CSCCCCCCCCCC,0.01740295
C1CCCN1CCNC(=O)CCC(SCCCCCCCCCCC)CSCCCCCCCCCCC,7.55287818
C1CCCN1CCNC(=O)CCC(SCCCCCCCCCCCC)CSCCCCCCCCCCCC,3.49799197
C1CCCN1CCNC(=O)CCC(SCCCCCCCCCCCCCCCC)CSCCCCCCCCCCCCCCCC,0.46987952
C1CCCN1CCNC(=O)CCC(SCCCCCC)CSCCCCCC,0.01740295
C1CCCN1CCNC(=O)CCC(SCCCCCCC)CSCCCCCCC,0.01740295
C1CCCN1CCNC(=O)CCC(SCCCCCCCC)CSCCCCCCCC,0.01740295
C1CCCN1CCNC(=O)CCC(SCCCCCCCCC)CSCCCCCCCCC,0.01740295
CCN(CC)CCNC(=O)CCC(SCCCCCCCCCC)CSCCCCCCCCCC,0.01740295
CCN(CC)CCNC(=O)CCC(SCCCCCCCCCCC)CSCCCCCCCCCCC,7.55287818
CCN(CC)CCNC(=O)CCC(SCCCCCCCCCCCC)CSCCCCCCCCCCCC,9.55421687
CCN(CC)CCNC(=O)CCC(SCCCCCCCCCCCCCCCC)CSCCCCCCCCCCCCCCCC,1.46184739
CCN(CC)CCNC(=O)CCC(SCCCCCC)CSCCCCCC,0.01740295
CCN(CC)CCNC(=O)CCC(SCCCCCCC)CSCCCCCCC,0.01740295
CCN(CC)CCNC(=O)CCC(SCCCCCCCC)CSCCCCCCCC,0.01740295
CCN(CC)CCNC(=O)CCC(SCCCCCCCCC)CSCCCCCCCCC,0.01740295
CCN(CC)CCCNC(=O)CCC(SCCCCCCCCCC)CSCCCCCCCCCC,0.01740295
CCN(CC)CCCNC(=O)CCC(SCCCCCCCCCCC)CSCCCCCCCCCCC,6.52610442
CCN(CC)CCCNC(=O)CCC(SCCCCCCCCCCCC)CSCCCCCCCCCCCC,2.5060241
CCN(CC)CCCNC(=O)CCC(SCCCCCCCCCCCCCCCC)CSCCCCCCCCCCCCCCCC,0.01740295
CCN(CC)CCCNC(=O)CCC(SCCCCCC)CSCCCCCC,0.01740295
CCN(CC)CCCNC(=O)CCC(SCCCCCCC)CSCCCCCCC,3.49799197
CCN(CC)CCCNC(=O)CCC(SCCCCCCCC)CSCCCCCCCC,0.01740295
CCN(CC)CCCNC(=O)CCC(SCCCCCCCCC)CSCCCCCCCCC,0.01740295
CN(C)CCCNC(=O)CCC(SCCCCCCCCCC)CSCCCCCCCCCC,1.46184739
CN(C)CCCNC(=O)CCC(SCCCCCCCCCCC)CSCCCCCCCCCCC,6.52610442
CN(C)CCCNC(=O)CCC(SCCCCCCCCCCCC)CSCCCCCCCCCCCC,1.46184739
CN(C)CCCNC(=O)CCC(SCCCCCCCCCCCCCCCC)CSCCCCCCCCCCCCCCCC,0.01740295
CN(C)CCCNC(=O)CCC(SCCCCCC)CSCCCCCC,0.46987952
CN(C)CCCNC(=O)CCC(SCCCCCCC)CSCCCCCCC,2.5060241
CN(C)CCCNC(=O)CCC(SCCCCCCCC)CSCCCCCCCC,0.01740295
CN(C)CCCNC(=O)CCC(SCCCCCCCCC)CSCCCCCCCCC,0.01740295
C1CN(CCN(C)C)CCN1C(=O)CCC(SCCCCCCCCCC)CSCCCCCCCCCC,1.46184739
C1CN(CCN(C)C)CCN1C(=O)CCC(SCCCCCCCCCCC)CSCCCCCCCCCCC,8.562249
C1CN(CCN(C)C)CCN1C(=O)CCC(SCCCCCCCCCCCC)CSCCCCCCCCCCCC,0.01740295
