Lipid_name,Amine,Tail
Li_enzyme_cat_AA01_C8,Li_enzyme_cat_AA01,Li_enzyme_cat_C8
Li_enzyme_cat_AA01_C10,Li_enzyme_cat_AA01,Li_enzyme_cat_C10
Li_enzyme_cat_AA01_C12,Li_enzyme_cat_AA01,Li_enzyme_cat_C12
Li_enzyme_cat_AA01_C14,Li_enzyme_cat_AA01,Li_enzyme_cat_C14
Li_enzyme_cat_AA01_C16,Li_enzyme_cat_AA01,Li_enzyme_cat_C16
Li_enzyme_cat_AA01_C18,Li_enzyme_cat_AA01,Li_enzyme_cat_C18
Li_enzyme_cat_AA01_Oleic,Li_enzyme_cat_AA01,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA01_Linoleic,Li_enzyme_cat_AA01,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA02_C8,Li_enzyme_cat_AA02,Li_enzyme_cat_C8
Li_enzyme_cat_AA02_C10,Li_enzyme_cat_AA02,Li_enzyme_cat_C10
Li_enzyme_cat_AA02_C12,Li_enzyme_cat_AA02,Li_enzyme_cat_C12
Li_enzyme_cat_AA02_C14,Li_enzyme_cat_AA02,Li_enzyme_cat_C14
Li_enzyme_cat_AA02_C16,Li_enzyme_cat_AA02,Li_enzyme_cat_C16
Li_enzyme_cat_AA02_C18,Li_enzyme_cat_AA02,Li_enzyme_cat_C18
Li_enzyme_cat_AA02_Oleic,Li_enzyme_cat_AA02,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA02_Linoleic,Li_enzyme_cat_AA02,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA03_C8,Li_enzyme_cat_AA03,Li_enzyme_cat_C8
Li_enzyme_cat_AA03_C10,Li_enzyme_cat_AA03,Li_enzyme_cat_C10
Li_enzyme_cat_AA03_C12,Li_enzyme_cat_AA03,Li_enzyme_cat_C12
Li_enzyme_cat_AA03_C14,Li_enzyme_cat_AA03,Li_enzyme_cat_C14
Li_enzyme_cat_AA03_C16,Li_enzyme_cat_AA03,Li_enzyme_cat_C16
Li_enzyme_cat_AA03_C18,Li_enzyme_cat_AA03,Li_enzyme_cat_C18
Li_enzyme_cat_AA03_Oleic,Li_enzyme_cat_AA03,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA03_Linoleic,Li_enzyme_cat_AA03,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA04_C8,Li_enzyme_cat_AA04,Li_enzyme_cat_C8
Li_enzyme_cat_AA04_C10,Li_enzyme_cat_AA04,Li_enzyme_cat_C10
Li_enzyme_cat_AA04_C12,Li_enzyme_cat_AA04,Li_enzyme_cat_C12
Li_enzyme_cat_AA04_C14,Li_enzyme_cat_AA04,Li_enzyme_cat_C14
Li_enzyme_cat_AA04_C16,Li_enzyme_cat_AA04,Li_enzyme_cat_C16
Li_enzyme_cat_AA04_C18,Li_enzyme_cat_AA04,Li_enzyme_cat_C18
Li_enzyme_cat_AA04_Oleic,Li_enzyme_cat_AA04,Li_enzyme_cat_Oleic
Li_enzyme_cat_AA04_Linoleic,Li_enzyme_cat_AA04,Li_enzyme_cat_Linoleic
Li_enzyme_cat_AA05_C8,Li_enzyme_cat_AA05,Li_enzyme_cat_C8
Li_enzyme_cat_AA05_C10,Li_enzyme_cat_AA05,Li_enzyme_cat_C10
Li_enzyme_cat_AA05_C12,Li_enzyme_cat_AA05,Li_enzyme_cat_C12
