smiles,quantified_delivery
N(CCOC(=O)CCCCCCC)(CCOC(=O)CCCCCCC)CCOC(=O)CCCCCCC,801.6313214
N(CCOC(=O)CCCCCCCCC)(CCOC(=O)CCCCCCCCC)CCOC(=O)CCCCCCCCC,801.6313214
N(CCOC(=O)CCCCCCCCCCC)(CCOC(=O)CCCCCCCCCCC)CCOC(=O)CCCCCCCCCCC,3083.19739
N(CCOC(=O)CCCCCCCCCCCCC)(CCOC(=O)CCCCCCCCCCCCC)CCOC(=O)CCCCCCCCCCCCC,2281.566069
N(CCOC(=O)CCCCCCCCCCCCCCC)(CCOC(=O)CCCCCCCCCCCCCCC)CCOC(=O)CCCCCCCCCCCCCCC,616.639478
N(CCOC(=O)CCCCCCCCCCCCCCCCC)(CCOC(=O)CCCCCCCCCCCCCCCCC)CCOC(=O)CCCCCCCCCCCCCCCCC,801.6313214
N(CCOC(=O)CCCCCCC/C=C\CCCCCCCC)(CCOC(=O)CCCCCCC/C=C\CCCCCCCC)CCOC(=O)CCCCCCC/C=C\CCCCCCCC,5919.738989
N(CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC)(CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC)CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC,6721.37031
N(C)(CCOC(=O)CCCCCCC)CCOC(=O)CCCCCCC,616.639478
N(C)(CCOC(=O)CCCCCCCCC)CCOC(=O)CCCCCCCCC,801.6313214
N(C)(CCOC(=O)CCCCCCCCCCC)CCOC(=O)CCCCCCCCCCC,5118.107667
N(C)(CCOC(=O)CCCCCCCCCCCCC)CCOC(=O)CCCCCCCCCCCCC,4008.156607
N(C)(CCOC(=O)CCCCCCCCCCCCCCC)CCOC(=O)CCCCCCCCCCCCCCC,3638.17292
N(C)(CCOC(=O)CCCCCCCCCCCCCCCCC)CCOC(=O)CCCCCCCCCCCCCCCCC,2836.541599
N(C)(CCOC(=O)CCCCCCC/C=C\CCCCCCCC)CCOC(=O)CCCCCCC/C=C\CCCCCCCC,8879.608483
N(C)(CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC)CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC,9927.895595
C1CN(CCOC(=O)CCCCCCC)CCN1CCOC(=O)CCCCCCC,1788.254486
C1CN(CCOC(=O)CCCCCCCCC)CCN1CCOC(=O)CCCCCCCCC,1788.254486
C1CN(CCOC(=O)CCCCCCCCCCC)CCN1CCOC(=O)CCCCCCCCCCC,20410.76672
C1CN(CCOC(=O)CCCCCCCCCCCCC)CCN1CCOC(=O)CCCCCCCCCCCCC,9927.895595
C1CN(CCOC(=O)CCCCCCCCCCCCCCC)CCN1CCOC(=O)CCCCCCCCCCCCCCC,5056.443719
C1CN(CCOC(=O)CCCCCCCCCCCCCCCCC)CCN1CCOC(=O)CCCCCCCCCCCCCCCCC,6474.714519
C1CN(CCOC(=O)CCCCCCC/C=C\CCCCCCCC)CCN1CCOC(=O)CCCCCCC/C=C\CCCCCCCC,30030.34258
C1CN(CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC)CCN1CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC,37800
CCCCN(CCOC(=O)CCCCCCC)CCOC(=O)CCCCCCC,801.6313214
CCCCN(CCOC(=O)CCCCCCCCC)CCOC(=O)CCCCCCCCC,801.6313214
CCCCN(CCOC(=O)CCCCCCCCCCC)CCOC(=O)CCCCCCCCCCC,8632.952692
