Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Comment
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,16.85894417,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.94726749,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.205049844,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.20060278,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,11.19615573,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.702826315,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.69837925,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,11.19615573,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.95171455,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.94726749,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.20060278,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,11.19615573,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.44949102,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,8.458385139,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,8.956161609,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.453938079,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,8.707273374,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.205049844,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.702826315,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,8.956161609,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.453938079,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.95171455,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.44949102,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,8.209496904,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.205049844,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.702826315,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.20060278,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.44949102,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,24.22888909,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,8.707273374,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,9.702826315,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.20060278,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.69837925,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
iPhos,29.06976744,34.88372093,34.88372093,1.162790698,MDOA,10.71626471,Calculated from iPhos:mRNA molar ratio of 11622 and RNA length 1929 or weight 655kDa
