Amine,Tail,Lipid_name,Tail_count
Liu_phospholipids_25A,Liu_phospholipids_P9,Liu_phospholipids_25A3P9,3
Liu_phospholipids_12A,Liu_phospholipids_P10,Liu_phospholipids_12A1P10,1
Liu_phospholipids_9A,Liu_phospholipids_P11,Liu_phospholipids_9A1P11,1
Liu_phospholipids_10A,Liu_phospholipids_P11,Liu_phospholipids_10A1P11,1
Liu_phospholipids_12A,Liu_phospholipids_P11,Liu_phospholipids_12A1P11,1
Liu_phospholipids_9A,Liu_phospholipids_P13,Liu_phospholipids_9A1P13,1
Liu_phospholipids_10A,Liu_phospholipids_P13,Liu_phospholipids_10A1P13,1
Liu_phospholipids_11A,Liu_phospholipids_P13,Liu_phospholipids_11A1P13,1
Liu_phospholipids_9A,Liu_phospholipids_P14,Liu_phospholipids_9A1P14,1
Liu_phospholipids_10A,Liu_phospholipids_P14,Liu_phospholipids_10A1P14,1
Liu_phospholipids_9A,Liu_phospholipids_P15,Liu_phospholipids_9A1P15,1
Liu_phospholipids_10A,Liu_phospholipids_P15,Liu_phospholipids_10A1P15,1
Liu_phospholipids_9A,Liu_phospholipids_P16,Liu_phospholipids_9A1P16,1
Liu_phospholipids_10A,Liu_phospholipids_P4,Liu_phospholipids_10A1P4,1
Liu_phospholipids_11A,Liu_phospholipids_P4,Liu_phospholipids_11A1P4,1
Liu_phospholipids_12A,Liu_phospholipids_P4,Liu_phospholipids_12A1P4,1
Liu_phospholipids_10A,Liu_phospholipids_P5,Liu_phospholipids_10A1P5,1
Liu_phospholipids_11A,Liu_phospholipids_P5,Liu_phospholipids_11A1P5,1
Liu_phospholipids_12A,Liu_phospholipids_P5,Liu_phospholipids_12A1P5,1
Liu_phospholipids_10A,Liu_phospholipids_P6,Liu_phospholipids_10A1P6,1
Liu_phospholipids_11A,Liu_phospholipids_P6,Liu_phospholipids_11A1P6,1
Liu_phospholipids_12A,Liu_phospholipids_P6,Liu_phospholipids_12A1P6,1
Liu_phospholipids_13A,Liu_phospholipids_P6,Liu_phospholipids_13A1P6,1
Liu_phospholipids_9A,Liu_phospholipids_P7,Liu_phospholipids_9A1P7,1
