Random_id,Lipid_name,Amine,Tail
1,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
2,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
3,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
4,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
5,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
6,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
7,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
8,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
9,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
10,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
11,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
12,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
13,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
14,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
15,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
16,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
17,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
18,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
19,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
20,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
21,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
22,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
23,RM_branched_ester_M3_R8,RM_branched_ester_M3,RM_branched_ester_R8
