Lipid_name,Amine,Tail
RM_branched_ester_M01_R01,RM_branched_ester_M01,RM_branched_ester_R01
RM_branched_ester_M01_R10,RM_branched_ester_M01,RM_branched_ester_R10
RM_branched_ester_M01_R11,RM_branched_ester_M01,RM_branched_ester_R11
RM_branched_ester_M01_R12,RM_branched_ester_M01,RM_branched_ester_R12
RM_branched_ester_M01_R13,RM_branched_ester_M01,RM_branched_ester_R13
RM_branched_ester_M01_R14,RM_branched_ester_M01,RM_branched_ester_R14
RM_branched_ester_M01_R15,RM_branched_ester_M01,RM_branched_ester_R15
RM_branched_ester_M01_R16,RM_branched_ester_M01,RM_branched_ester_R16
RM_branched_ester_M01_R02,RM_branched_ester_M01,RM_branched_ester_R02
RM_branched_ester_M01_R03,RM_branched_ester_M01,RM_branched_ester_R03
RM_branched_ester_M01_R04,RM_branched_ester_M01,RM_branched_ester_R04
RM_branched_ester_M01_R05,RM_branched_ester_M01,RM_branched_ester_R05
RM_branched_ester_M01_R06,RM_branched_ester_M01,RM_branched_ester_R06
RM_branched_ester_M01_R07,RM_branched_ester_M01,RM_branched_ester_R07
RM_branched_ester_M01_R08,RM_branched_ester_M01,RM_branched_ester_R08
RM_branched_ester_M01_R09,RM_branched_ester_M01,RM_branched_ester_R09
RM_branched_ester_M02_R01,RM_branched_ester_M02,RM_branched_ester_R01
RM_branched_ester_M02_R10,RM_branched_ester_M02,RM_branched_ester_R10
RM_branched_ester_M02_R11,RM_branched_ester_M02,RM_branched_ester_R11
RM_branched_ester_M02_R12,RM_branched_ester_M02,RM_branched_ester_R12
RM_branched_ester_M02_R13,RM_branched_ester_M02,RM_branched_ester_R13
RM_branched_ester_M02_R14,RM_branched_ester_M02,RM_branched_ester_R14
RM_branched_ester_M02_R15,RM_branched_ester_M02,RM_branched_ester_R15
RM_branched_ester_M02_R16,RM_branched_ester_M02,RM_branched_ester_R16
RM_branched_ester_M02_R02,RM_branched_ester_M02,RM_branched_ester_R02
RM_branched_ester_M02_R03,RM_branched_ester_M02,RM_branched_ester_R03
RM_branched_ester_M02_R04,RM_branched_ester_M02,RM_branched_ester_R04
RM_branched_ester_M02_R05,RM_branched_ester_M02,RM_branched_ester_R05
RM_branched_ester_M02_R06,RM_branched_ester_M02,RM_branched_ester_R06
RM_branched_ester_M02_R07,RM_branched_ester_M02,RM_branched_ester_R07
RM_branched_ester_M02_R08,RM_branched_ester_M02,RM_branched_ester_R08
RM_branched_ester_M02_R09,RM_branched_ester_M02,RM_branched_ester_R09
RM_branched_ester_M03_R01,RM_branched_ester_M03,RM_branched_ester_R01
RM_branched_ester_M03_R10,RM_branched_ester_M03,RM_branched_ester_R10
RM_branched_ester_M03_R11,RM_branched_ester_M03,RM_branched_ester_R11
RM_branched_ester_M03_R12,RM_branched_ester_M03,RM_branched_ester_R12
RM_branched_ester_M03_R13,RM_branched_ester_M03,RM_branched_ester_R13
RM_branched_ester_M03_R14,RM_branched_ester_M03,RM_branched_ester_R14
RM_branched_ester_M03_R15,RM_branched_ester_M03,RM_branched_ester_R15
RM_branched_ester_M03_R16,RM_branched_ester_M03,RM_branched_ester_R16
RM_branched_ester_M03_R02,RM_branched_ester_M03,RM_branched_ester_R02
RM_branched_ester_M03_R03,RM_branched_ester_M03,RM_branched_ester_R03
RM_branched_ester_M03_R04,RM_branched_ester_M03,RM_branched_ester_R04
RM_branched_ester_M03_R05,RM_branched_ester_M03,RM_branched_ester_R05
RM_branched_ester_M03_R06,RM_branched_ester_M03,RM_branched_ester_R06
RM_branched_ester_M03_R07,RM_branched_ester_M03,RM_branched_ester_R07
RM_branched_ester_M03_R08,RM_branched_ester_M03,RM_branched_ester_R08
RM_branched_ester_M03_R09,RM_branched_ester_M03,RM_branched_ester_R09
RM_branched_ester_M04_R01,RM_branched_ester_M04,RM_branched_ester_R01
RM_branched_ester_M04_R10,RM_branched_ester_M04,RM_branched_ester_R10
RM_branched_ester_M04_R11,RM_branched_ester_M04,RM_branched_ester_R11
RM_branched_ester_M04_R12,RM_branched_ester_M04,RM_branched_ester_R12
