Amine,Tail,Lipid_name,Num tails,MolWt
Miller_ZAL_ZA1,Miller_ZAL_Ep8,Miller_ZAL_ZA1-Ep8,2,709.096
Miller_ZAL_ZA2,Miller_ZAL_Ep8,Miller_ZAL_ZA2-Ep8,2,793.258
Miller_ZAL_ZA3,Miller_ZAL_Ep8,Miller_ZAL_ZA3-Ep8,5,1051.66
Miller_ZAL_ZA4,Miller_ZAL_Ep8,Miller_ZAL_ZA4-Ep8,3,766.188
Miller_ZAL_ZA5,Miller_ZAL_Ep8,Miller_ZAL_ZA5-Ep8,3,794.242
Miller_ZAL_ZA6,Miller_ZAL_Ep8,Miller_ZAL_ZA6-Ep8,3,849.322
Miller_ZAL_ZA1,Miller_ZAL_Ep10,Miller_ZAL_ZA1-Ep10,2,765.204
Miller_ZAL_ZA2,Miller_ZAL_Ep10,Miller_ZAL_ZA2-Ep10,2,849.366
Miller_ZAL_ZA3,Miller_ZAL_Ep10,Miller_ZAL_ZA3-Ep10,5,1191.93
Miller_ZAL_ZA4,Miller_ZAL_Ep10,Miller_ZAL_ZA4-Ep10,3,850.35
Miller_ZAL_ZA5,Miller_ZAL_Ep10,Miller_ZAL_ZA5-Ep10,3,878.404
Miller_ZAL_ZA6,Miller_ZAL_Ep10,Miller_ZAL_ZA6-Ep10,3,933.484
Miller_ZAL_ZA1,Miller_ZAL_Ep12,Miller_ZAL_ZA1-Ep12,2,821.312
Miller_ZAL_ZA2,Miller_ZAL_Ep12,Miller_ZAL_ZA2-Ep12,2,905.474
Miller_ZAL_ZA3,Miller_ZAL_Ep12,Miller_ZAL_ZA3-Ep12,5,1332.2
Miller_ZAL_ZA4,Miller_ZAL_Ep12,Miller_ZAL_ZA4-Ep12,3,934.512
Miller_ZAL_ZA5,Miller_ZAL_Ep12,Miller_ZAL_ZA5-Ep12,3,962.566
Miller_ZAL_ZA6,Miller_ZAL_Ep12,Miller_ZAL_ZA6-Ep12,3,1017.646
Miller_ZAL_ZA1,Miller_ZAL_Ep14,Miller_ZAL_ZA1-Ep14,2,877.42
Miller_ZAL_ZA2,Miller_ZAL_Ep14,Miller_ZAL_ZA2-Ep14,2,961.582
Miller_ZAL_ZA3,Miller_ZAL_Ep14,Miller_ZAL_ZA3-Ep14,5,1472.47
Miller_ZAL_ZA4,Miller_ZAL_Ep14,Miller_ZAL_ZA4-Ep14,3,1018.674
Miller_ZAL_ZA5,Miller_ZAL_Ep14,Miller_ZAL_ZA5-Ep14,3,1046.728
Miller_ZAL_ZA6,Miller_ZAL_Ep14,Miller_ZAL_ZA6-Ep14,3,1101.808
Miller_ZAL_ZA1,Miller_ZAL_Ep16,Miller_ZAL_ZA1-Ep16,2,933.528
