Lipid_name,Amine,Tail,Delivery_target,Route_of_administration,Purity,Batch_or_individual,Experiment_weight,Mix_type
A11-T1 ,RM_carbonate_A11,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A11-T2 ,RM_carbonate_A11,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A9-T1 ,RM_carbonate_A9,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A56-T3 ,RM_carbonate_A56,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A18-T7 ,RM_carbonate_A18,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A6-T1 ,RM_carbonate_A6,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A9-T2 ,RM_carbonate_A9,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A22-T1 ,RM_carbonate_A22,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A9-T3 ,RM_carbonate_A9,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T1 ,RM_carbonate_A33,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A1-T2 ,RM_carbonate_A1,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A11-T3 ,RM_carbonate_A11,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A1-T1 ,RM_carbonate_A1,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A2-T2 ,RM_carbonate_A2,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A18-T6 ,RM_carbonate_A18,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A14-T10 ,RM_carbonate_A14,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A4-T2 ,RM_carbonate_A4,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A22-T2 ,RM_carbonate_A22,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A12-T2 ,RM_carbonate_A12,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T8 ,RM_carbonate_A25,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A3-T1 ,RM_carbonate_A3,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A30-T2 ,RM_carbonate_A30,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A4-T3 ,RM_carbonate_A4,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A18-T5 ,RM_carbonate_A18,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A30-T1 ,RM_carbonate_A30,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A30-T3 ,RM_carbonate_A30,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A5-T1 ,RM_carbonate_A5,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A8-T2 ,RM_carbonate_A8,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A51-T3 ,RM_carbonate_A51,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A12-T3 ,RM_carbonate_A12,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A55-T3 ,RM_carbonate_A55,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A6-T3 ,RM_carbonate_A6,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A37-T6 ,RM_carbonate_A37,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A16-T3 ,RM_carbonate_A16,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A1-T3 ,RM_carbonate_A1,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A47-T5 ,RM_carbonate_A47,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A28-T10 ,RM_carbonate_A28,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A6-T2 ,RM_carbonate_A6,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A3-T3 ,RM_carbonate_A3,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A20-T8 ,RM_carbonate_A20,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A2-T5 ,RM_carbonate_A2,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A18-T8 ,RM_carbonate_A18,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T4 ,RM_carbonate_A63,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A36-T3 ,RM_carbonate_A36,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A3-T2 ,RM_carbonate_A3,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A4-T1 ,RM_carbonate_A4,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A8-T3 ,RM_carbonate_A8,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T2 ,RM_carbonate_A25,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T10 ,RM_carbonate_A63,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T1 ,RM_carbonate_A34,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A24-T10 ,RM_carbonate_A24,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A12-T1 ,RM_carbonate_A12,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T7 ,RM_carbonate_A25,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A8-T1 ,RM_carbonate_A8,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A36-T2 ,RM_carbonate_A36,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A2-T8 ,RM_carbonate_A2,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A31-T1 ,RM_carbonate_A31,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A18-T4 ,RM_carbonate_A18,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A15-T10 ,RM_carbonate_A15,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A51-T1 ,RM_carbonate_A51,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T8 ,RM_carbonate_A63,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A18-T3 ,RM_carbonate_A18,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A14-T3 ,RM_carbonate_A14,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A4-T6 ,RM_carbonate_A4,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A51-T9 ,RM_carbonate_A51,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A15-T1 ,RM_carbonate_A15,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A17-T2 ,RM_carbonate_A17,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A16-T1 ,RM_carbonate_A16,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A31-T3 ,RM_carbonate_A31,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A44-T1 ,RM_carbonate_A44,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T7 ,RM_carbonate_A34,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A47-T4 ,RM_carbonate_A47,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T10 ,RM_carbonate_A25,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T10 ,RM_carbonate_A33,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A31-T6 ,RM_carbonate_A31,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T2 ,RM_carbonate_A33,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T9 ,RM_carbonate_A33,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T3 ,RM_carbonate_A25,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A2-T4 ,RM_carbonate_A2,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A5-T3 ,RM_carbonate_A5,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A44-T4 ,RM_carbonate_A44,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A19-T7 ,RM_carbonate_A19,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T6 ,RM_carbonate_A63,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A33-T7 ,RM_carbonate_A33,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A14-T2 ,RM_carbonate_A14,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T2 ,RM_carbonate_A7,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A23-T4 ,RM_carbonate_A23,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A49-T10 ,RM_carbonate_A49,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T8 ,RM_carbonate_A34,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A17-T1 ,RM_carbonate_A17,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A25-T1 ,RM_carbonate_A25,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T3 ,RM_carbonate_A34,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A14-T1 ,RM_carbonate_A14,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T4 ,RM_carbonate_A34,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T6 ,RM_carbonate_A34,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A14-T9 ,RM_carbonate_A14,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A35-T3 ,RM_carbonate_A35,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
