Lipid_name,Amine,Tail,Delivery_target,Route_of_administration
RM_branched_ester_M03_R08,RM_branched_ester_M03,RM_branched_ester_R08,liver,iv
RM_branched_ester_M06_R08,RM_branched_ester_M06,RM_branched_ester_R08,liver,iv
RM_branched_ester_M15_R08,RM_branched_ester_M15,RM_branched_ester_R08,liver,iv
RM_branched_ester_M14_R08,RM_branched_ester_M14,RM_branched_ester_R08,liver,iv
RM_branched_ester_M18_R08,RM_branched_ester_M18,RM_branched_ester_R08,liver,iv
RM_branched_ester_M73_R08,RM_branched_ester_M73,RM_branched_ester_R08,liver,iv
RM_branched_ester_M59_R08,RM_branched_ester_M59,RM_branched_ester_R08,liver,iv
RM_branched_ester_M63_R08,RM_branched_ester_M63,RM_branched_ester_R08,liver,iv
RM_branched_ester_M06_R16,RM_branched_ester_M06,RM_branched_ester_R16,liver,iv
RM_branched_ester_M15_R16,RM_branched_ester_M15,RM_branched_ester_R16,liver,iv
RM_branched_ester_M18_R16,RM_branched_ester_M18,RM_branched_ester_R16,liver,iv
RM_branched_ester_M73_R16,RM_branched_ester_M73,RM_branched_ester_R16,liver,iv
RM_branched_ester_M59_R16,RM_branched_ester_M59,RM_branched_ester_R16,liver,iv
RM_branched_ester_M03_R16,RM_branched_ester_M03,RM_branched_ester_R16,liver,iv
RM_branched_ester_M14_R16,RM_branched_ester_M14,RM_branched_ester_R16,liver,iv
RM_branched_ester_M63_R16,RM_branched_ester_M63,RM_branched_ester_R16,liver,iv
RM_branched_ester_M33_R08,RM_branched_ester_M33,RM_branched_ester_R08,liver,iv
RM_branched_ester_M47_R08,RM_branched_ester_M47,RM_branched_ester_R08,liver,iv
RM_branched_ester_M62_R08,RM_branched_ester_M62,RM_branched_ester_R08,liver,iv
RM_branched_ester_M33_R16,RM_branched_ester_M33,RM_branched_ester_R16,liver,iv
RM_branched_ester_M47_R16,RM_branched_ester_M47,RM_branched_ester_R16,liver,iv
RM_branched_ester_M62_R16,RM_branched_ester_M62,RM_branched_ester_R16,liver,iv
RM_branched_ester_M78_R16,RM_branched_ester_M78,RM_branched_ester_R16,liver,iv
RM_branched_ester_M60_R16,RM_branched_ester_M60,RM_branched_ester_R16,liver,iv
RM_branched_ester_M79_R16,RM_branched_ester_M79,RM_branched_ester_R16,liver,iv
RM_branched_ester_M01_R30,RM_branched_ester_M01,RM_branched_ester_R30,liver,iv
RM_branched_ester_M02_R30,RM_branched_ester_M02,RM_branched_ester_R30,liver,iv
RM_branched_ester_M03_R30,RM_branched_ester_M03,RM_branched_ester_R30,liver,iv
RM_branched_ester_M04_R30,RM_branched_ester_M04,RM_branched_ester_R30,liver,iv
RM_branched_ester_M05_R30,RM_branched_ester_M05,RM_branched_ester_R30,liver,iv
RM_branched_ester_M06_R30,RM_branched_ester_M06,RM_branched_ester_R30,liver,iv
RM_branched_ester_M14_R30,RM_branched_ester_M14,RM_branched_ester_R30,liver,iv
RM_branched_ester_M15_R30,RM_branched_ester_M15,RM_branched_ester_R30,liver,iv
RM_branched_ester_M33_R30,RM_branched_ester_M33,RM_branched_ester_R30,liver,iv
RM_branched_ester_M71_R30,RM_branched_ester_M71,RM_branched_ester_R30,liver,iv
RM_branched_ester_M76_R30,RM_branched_ester_M76,RM_branched_ester_R30,liver,iv
RM_branched_ester_M75_R30,RM_branched_ester_M75,RM_branched_ester_R30,liver,iv
RM_branched_ester_M14_R14,RM_branched_ester_M14,RM_branched_ester_R14,liver,iv
RM_branched_ester_M18_R14,RM_branched_ester_M18,RM_branched_ester_R14,liver,iv
RM_branched_ester_M59_R14,RM_branched_ester_M59,RM_branched_ester_R14,liver,iv
RM_branched_ester_M63_R14,RM_branched_ester_M63,RM_branched_ester_R14,liver,iv
RM_branched_ester_M14_R36,RM_branched_ester_M14,RM_branched_ester_R36,liver,iv
RM_branched_ester_M18_R36,RM_branched_ester_M18,RM_branched_ester_R36,liver,iv
RM_branched_ester_M59_R36,RM_branched_ester_M59,RM_branched_ester_R36,liver,iv
RM_branched_ester_M63_R36,RM_branched_ester_M63,RM_branched_ester_R36,liver,iv
RM_branched_ester_M14_R34,RM_branched_ester_M14,RM_branched_ester_R34,liver,iv
RM_branched_ester_M18_R34,RM_branched_ester_M18,RM_branched_ester_R34,liver,iv
RM_branched_ester_M59_R34,RM_branched_ester_M59,RM_branched_ester_R34,liver,iv
RM_branched_ester_M63_R34,RM_branched_ester_M63,RM_branched_ester_R34,liver,iv
RM_branched_ester_M14_R06,RM_branched_ester_M14,RM_branched_ester_R06,liver,iv
RM_branched_ester_M18_R06,RM_branched_ester_M18,RM_branched_ester_R06,liver,iv
RM_branched_ester_M59_R06,RM_branched_ester_M59,RM_branched_ester_R06,liver,iv
RM_branched_ester_M14_R07,RM_branched_ester_M14,RM_branched_ester_R07,liver,iv
RM_branched_ester_M14_R10,RM_branched_ester_M14,RM_branched_ester_R10,liver,iv
RM_branched_ester_M14_R29,RM_branched_ester_M14,RM_branched_ester_R29,liver,iv
RM_branched_ester_M14_R03,RM_branched_ester_M14,RM_branched_ester_R03,liver,iv
RM_branched_ester_M14_R09,RM_branched_ester_M14,RM_branched_ester_R09,liver,iv
RM_branched_ester_M14_R11,RM_branched_ester_M14,RM_branched_ester_R11,liver,iv
RM_branched_ester_M14_R12,RM_branched_ester_M14,RM_branched_ester_R12,liver,iv
RM_branched_ester_M14_R27,RM_branched_ester_M14,RM_branched_ester_R27,liver,iv
RM_branched_ester_M14_R35,RM_branched_ester_M14,RM_branched_ester_R35,liver,iv
RM_branched_ester_M01_R34,RM_branched_ester_M01,RM_branched_ester_R34,liver,iv
RM_branched_ester_M02_R34,RM_branched_ester_M02,RM_branched_ester_R34,liver,iv
RM_branched_ester_M03_R34,RM_branched_ester_M03,RM_branched_ester_R34,liver,iv
RM_branched_ester_M04_R34,RM_branched_ester_M04,RM_branched_ester_R34,liver,iv
RM_branched_ester_M05_R34,RM_branched_ester_M05,RM_branched_ester_R34,liver,iv
RM_branched_ester_M06_R34,RM_branched_ester_M06,RM_branched_ester_R34,liver,iv
RM_branched_ester_M15_R34,RM_branched_ester_M15,RM_branched_ester_R34,liver,iv
RM_branched_ester_M33_R34,RM_branched_ester_M33,RM_branched_ester_R34,liver,iv
RM_branched_ester_M71_R34,RM_branched_ester_M71,RM_branched_ester_R34,liver,iv
RM_branched_ester_M80_R34,RM_branched_ester_M80,RM_branched_ester_R34,liver,iv
RM_branched_ester_M01_R20,RM_branched_ester_M01,RM_branched_ester_R20,liver,iv
RM_branched_ester_M02_R20,RM_branched_ester_M02,RM_branched_ester_R20,liver,iv
RM_branched_ester_M03_R20,RM_branched_ester_M03,RM_branched_ester_R20,liver,iv
RM_branched_ester_M04_R20,RM_branched_ester_M04,RM_branched_ester_R20,liver,iv
RM_branched_ester_M14_R20,RM_branched_ester_M14,RM_branched_ester_R20,liver,iv
RM_branched_ester_M15_R20,RM_branched_ester_M15,RM_branched_ester_R20,liver,iv
RM_branched_ester_M19_R20,RM_branched_ester_M19,RM_branched_ester_R20,liver,iv
RM_branched_ester_M30_R20,RM_branched_ester_M30,RM_branched_ester_R20,liver,iv
RM_branched_ester_M33_R20,RM_branched_ester_M33,RM_branched_ester_R20,liver,iv
RM_branched_ester_M71_R20,RM_branched_ester_M71,RM_branched_ester_R20,liver,iv
RM_branched_ester_M01_R15,RM_branched_ester_M01,RM_branched_ester_R15,liver,iv
RM_branched_ester_M02_R15,RM_branched_ester_M02,RM_branched_ester_R15,liver,iv
RM_branched_ester_M03_R15,RM_branched_ester_M03,RM_branched_ester_R15,liver,iv
RM_branched_ester_M04_R15,RM_branched_ester_M04,RM_branched_ester_R15,liver,iv
RM_branched_ester_M14_R15,RM_branched_ester_M14,RM_branched_ester_R15,liver,iv
RM_branched_ester_M15_R15,RM_branched_ester_M15,RM_branched_ester_R15,liver,iv
RM_branched_ester_M33_R15,RM_branched_ester_M33,RM_branched_ester_R15,liver,iv
RM_branched_ester_M71_R15,RM_branched_ester_M71,RM_branched_ester_R15,liver,iv
RM_branched_ester_M03_R13,RM_branched_ester_M03,RM_branched_ester_R13,liver,iv
RM_branched_ester_M04_R13,RM_branched_ester_M04,RM_branched_ester_R13,liver,iv
RM_branched_ester_M14_R13,RM_branched_ester_M14,RM_branched_ester_R13,liver,iv
RM_branched_ester_M15_R13,RM_branched_ester_M15,RM_branched_ester_R13,liver,iv
RM_branched_ester_M19_R13,RM_branched_ester_M19,RM_branched_ester_R13,liver,iv
RM_branched_ester_M30_R13,RM_branched_ester_M30,RM_branched_ester_R13,liver,iv
RM_branched_ester_M33_R13,RM_branched_ester_M33,RM_branched_ester_R13,liver,iv
RM_branched_ester_M71_R13,RM_branched_ester_M71,RM_branched_ester_R13,liver,iv
RM_branched_ester_M03_R08,RM_branched_ester_M03,RM_branched_ester_R08,spleen,iv
RM_branched_ester_M06_R08,RM_branched_ester_M06,RM_branched_ester_R08,spleen,iv
RM_branched_ester_M15_R08,RM_branched_ester_M15,RM_branched_ester_R08,spleen,iv
RM_branched_ester_M14_R08,RM_branched_ester_M14,RM_branched_ester_R08,spleen,iv
RM_branched_ester_M18_R08,RM_branched_ester_M18,RM_branched_ester_R08,spleen,iv
RM_branched_ester_M73_R08,RM_branched_ester_M73,RM_branched_ester_R08,spleen,iv
RM_branched_ester_M59_R08,RM_branched_ester_M59,RM_branched_ester_R08,spleen,iv
RM_branched_ester_M63_R08,RM_branched_ester_M63,RM_branched_ester_R08,spleen,iv
