Amine_number,Full_SMILES,Amine_SMILES,Tail_length,Num_tails,Amine,Tail,Delivery_target,Route_of_administration,Purity,Target_or_delivered_gene,Experiment_weight,Value_name
125,C=CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,C=CCCN,10,2,KW_A125,C10,hela,in_vitro,Crude,FFL,1,FFL silencing
125,C=CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC,C=CCCN,11,2,KW_A125,C11,hela,in_vitro,Crude,FFL,1,FFL silencing
125,C=CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,C=CCCN,12,2,KW_A125,C12,hela,in_vitro,Crude,FFL,1,FFL silencing
125,C=CCCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,C=CCCN,13,2,KW_A125,C13,hela,in_vitro,Crude,FFL,1,FFL silencing
125,C=CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,C=CCCN,14,2,KW_A125,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
383,CCCCCCCCCCCCCCOC(=O)CCN(C)c1ccc(Cc2ccc(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)cc2)cc1,CNc1ccc(Cc2ccc(N)cc2)cc1,14,3,KW_A383,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
342,CCCCCCCCCCCCCCOC(=O)CCN(C)c1ccccc1N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,CNc1ccccc1N,14,3,KW_A342,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
172,CCCCCCCCCCCCCCOC(=O)CCN(C)CCCCCCN(C)CCC(=O)OCCCCCCCCCCCCCC,CNCCCCCCNC,14,2,KW_A172,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
218,CCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CC)CCCN(C)CCC(=O)OCCCCCCCCCCCCCC,CCN(CCCNC)CCCNC,14,2,KW_A218,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
96,CCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,CNCCCN,14,3,KW_A96,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
60,CCCCCCCCCCCCCCOC(=O)CCN(C)CCN(C)CCC(=O)OCCCCCCCCCCCCCC,CNCCNC,14,2,KW_A60,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
95,CCCCCCCCCCCCCCOC(=O)CCN(C)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,CNCCN,14,3,KW_A95,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
304,CCCCCCCCCCCCCCOC(=O)CCN(C)CCN(CCN(C)CCC(=O)OCCCCCCCCCCCCCC)CCN(C)CCC(=O)OCCCCCCCCCCCCCC,CNCCN(CCNC)CCNC,14,3,KW_A304,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
68,CCCCCCCCCCCCCCOC(=O)CCN(C)CCOCCN(C)CCC(=O)OCCCCCCCCCCCCCC,CNCCOCCNC,14,2,KW_A68,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
69,CCCCCCCCCCCCCCOC(=O)CCN(C)CCOCCOCCN(C)CCC(=O)OCCCCCCCCCCCCCC,CNCCOCCOCCNC,14,2,KW_A69,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
165,CCCCCCCCCCCCCCOC(=O)CCN(C)CCOCCOCCN(C)CCC(=O)OCCCCCCCCCCCCCC,CNCCOCCOCCNC,14,2,KW_A165,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
397,CCCCCCCCCCCCCCOC(=O)CCN(c1ccccc1)c1ccc(-c2ccc(N(CCC(=O)OCCCCCCCCCCCCCC)c3ccccc3)cc2)cc1,c1ccc(Nc2ccc(-c3ccc(Nc4ccccc4)cc3)cc2)cc1,14,2,KW_A397,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
64,CCCCCCCCCCCCCCOC(=O)CCN(CC)CCCN(CC)CCC(=O)OCCCCCCCCCCCCCC,CCNCCCNCC,14,2,KW_A64,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
61,CCCCCCCCCCCCCCOC(=O)CCN(CC)CCN(CC)CCC(=O)OCCCCCCCCCCCCCC,CCNCCNCC,14,2,KW_A61,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
124,CCCCCCCCCCCCCCOC(=O)CCN(CC)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,CCNCCN,14,3,KW_A124,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
393,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)[C@@H](c1ccccc1)[C@@H](c1ccccc1)N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC,N[C@@H](c1ccccc1)[C@H](N)c1ccccc1,14,4,KW_A393,C14,hela,in_vitro,Crude,FFL,1,FFL silencing
