Lipid_name,Amine,Tail
Yan_aza_2A1_C8,Yan_aza_2A1,Yan_aza_C8
Yan_aza_2A1_C12,Yan_aza_2A1,Yan_aza_C12
Yan_aza_2A1_C18,Yan_aza_2A1,Yan_aza_C18
Yan_aza_2A1_2C4,Yan_aza_2A1,Yan_aza_2C4
Yan_aza_2A1_2C6,Yan_aza_2A1,Yan_aza_2C6
Yan_aza_2A1_2C8,Yan_aza_2A1,Yan_aza_2C8
Yan_aza_2A1_2C10,Yan_aza_2A1,Yan_aza_2C10
Yan_aza_2A3_C8,Yan_aza_2A3,Yan_aza_C8
Yan_aza_2A3_C12,Yan_aza_2A3,Yan_aza_C12
Yan_aza_2A3_C18,Yan_aza_2A3,Yan_aza_C18
Yan_aza_2A3_2C4,Yan_aza_2A3,Yan_aza_2C4
Yan_aza_2A3_2C6,Yan_aza_2A3,Yan_aza_2C6
Yan_aza_2A3_2C8,Yan_aza_2A3,Yan_aza_2C8
Yan_aza_2A3_2C10,Yan_aza_2A3,Yan_aza_2C10
Yan_aza_2A4_C8,Yan_aza_2A4,Yan_aza_C8
Yan_aza_2A4_C12,Yan_aza_2A4,Yan_aza_C12
Yan_aza_2A4_C18,Yan_aza_2A4,Yan_aza_C18
Yan_aza_2A4_2C4,Yan_aza_2A4,Yan_aza_2C4
Yan_aza_2A4_2C6,Yan_aza_2A4,Yan_aza_2C6
Yan_aza_2A4_2C8,Yan_aza_2A4,Yan_aza_2C8
Yan_aza_2A4_2C10,Yan_aza_2A4,Yan_aza_2C10
Yan_aza_2A5_C8,Yan_aza_2A5,Yan_aza_C8
Yan_aza_2A5_C12,Yan_aza_2A5,Yan_aza_C12
Yan_aza_2A5_C18,Yan_aza_2A5,Yan_aza_C18
Yan_aza_2A5_2C4,Yan_aza_2A5,Yan_aza_2C4
Yan_aza_2A5_2C6,Yan_aza_2A5,Yan_aza_2C6
Yan_aza_2A5_2C8,Yan_aza_2A5,Yan_aza_2C8
Yan_aza_2A5_2C10,Yan_aza_2A5,Yan_aza_2C10
Yan_aza_2A6_C8,Yan_aza_2A6,Yan_aza_C8
Yan_aza_2A6_C12,Yan_aza_2A6,Yan_aza_C12
Yan_aza_2A6_C18,Yan_aza_2A6,Yan_aza_C18
Yan_aza_2A6_2C4,Yan_aza_2A6,Yan_aza_2C4
Yan_aza_2A6_2C6,Yan_aza_2A6,Yan_aza_2C6
Yan_aza_2A6_2C8,Yan_aza_2A6,Yan_aza_2C8
Yan_aza_2A6_2C10,Yan_aza_2A6,Yan_aza_2C10
Yan_aza_2A7_C8,Yan_aza_2A7,Yan_aza_C8
Yan_aza_2A7_C12,Yan_aza_2A7,Yan_aza_C12
Yan_aza_2A7_C18,Yan_aza_2A7,Yan_aza_C18
Yan_aza_2A7_2C4,Yan_aza_2A7,Yan_aza_2C4
Yan_aza_2A7_2C6,Yan_aza_2A7,Yan_aza_2C6
Yan_aza_2A7_2C8,Yan_aza_2A7,Yan_aza_2C8
Yan_aza_2A7_2C10,Yan_aza_2A7,Yan_aza_2C10
Yan_aza_2A8_C8,Yan_aza_2A8,Yan_aza_C8
Yan_aza_2A8_C12,Yan_aza_2A8,Yan_aza_C12
Yan_aza_2A8_C18,Yan_aza_2A8,Yan_aza_C18
Yan_aza_2A8_2C4,Yan_aza_2A8,Yan_aza_2C4
Yan_aza_2A8_2C6,Yan_aza_2A8,Yan_aza_2C6
Yan_aza_2A8_2C8,Yan_aza_2A8,Yan_aza_2C8
Yan_aza_2A8_2C10,Yan_aza_2A8,Yan_aza_2C10
Yan_aza_3A1_C8,Yan_aza_3A1,Yan_aza_C8
Yan_aza_3A1_C12,Yan_aza_3A1,Yan_aza_C12
Yan_aza_3A1_C18,Yan_aza_3A1,Yan_aza_C18
Yan_aza_3A1_2C4,Yan_aza_3A1,Yan_aza_2C4
Yan_aza_3A1_2C6,Yan_aza_3A1,Yan_aza_2C6
Yan_aza_3A1_2C8,Yan_aza_3A1,Yan_aza_2C8
Yan_aza_3A1_2C10,Yan_aza_3A1,Yan_aza_2C10
Yan_aza_3A2_C8,Yan_aza_3A2,Yan_aza_C8
Yan_aza_3A2_C12,Yan_aza_3A2,Yan_aza_C12
Yan_aza_3A2_C18,Yan_aza_3A2,Yan_aza_C18
Yan_aza_3A2_2C4,Yan_aza_3A2,Yan_aza_2C4
Yan_aza_3A2_2C6,Yan_aza_3A2,Yan_aza_2C6
Yan_aza_3A2_2C8,Yan_aza_3A2,Yan_aza_2C8
Yan_aza_3A2_2C10,Yan_aza_3A2,Yan_aza_2C10
Yan_aza_4A1_C8,Yan_aza_4A1,Yan_aza_C8
Yan_aza_4A1_C12,Yan_aza_4A1,Yan_aza_C12
Yan_aza_4A1_C18,Yan_aza_4A1,Yan_aza_C18
Yan_aza_4A1_2C4,Yan_aza_4A1,Yan_aza_2C4
Yan_aza_4A1_2C6,Yan_aza_4A1,Yan_aza_2C6
Yan_aza_4A1_2C8,Yan_aza_4A1,Yan_aza_2C8
Yan_aza_4A1_2C10,Yan_aza_4A1,Yan_aza_2C10
Yan_aza_4A2_C8,Yan_aza_4A2,Yan_aza_C8
Yan_aza_4A2_C12,Yan_aza_4A2,Yan_aza_C12
Yan_aza_4A2_C18,Yan_aza_4A2,Yan_aza_C18
Yan_aza_4A2_2C4,Yan_aza_4A2,Yan_aza_2C4
Yan_aza_4A2_2C6,Yan_aza_4A2,Yan_aza_2C6
Yan_aza_4A2_2C8,Yan_aza_4A2,Yan_aza_2C8
Yan_aza_4A2_2C10,Yan_aza_4A2,Yan_aza_2C10
Yan_aza_4A3_C8,Yan_aza_4A3,Yan_aza_C8
Yan_aza_4A3_C12,Yan_aza_4A3,Yan_aza_C12
Yan_aza_4A3_C18,Yan_aza_4A3,Yan_aza_C18
Yan_aza_4A3_2C4,Yan_aza_4A3,Yan_aza_2C4
Yan_aza_4A3_2C6,Yan_aza_4A3,Yan_aza_2C6
Yan_aza_4A3_2C8,Yan_aza_4A3,Yan_aza_2C8
Yan_aza_4A3_2C10,Yan_aza_4A3,Yan_aza_2C10
Yan_aza_4A4_C8,Yan_aza_4A4,Yan_aza_C8
Yan_aza_4A4_C12,Yan_aza_4A4,Yan_aza_C12
Yan_aza_4A4_C18,Yan_aza_4A4,Yan_aza_C18
Yan_aza_4A4_2C4,Yan_aza_4A4,Yan_aza_2C4
Yan_aza_4A4_2C6,Yan_aza_4A4,Yan_aza_2C6
Yan_aza_4A4_2C8,Yan_aza_4A4,Yan_aza_2C8
Yan_aza_4A4_2C10,Yan_aza_4A4,Yan_aza_2C10
Yan_aza_5A1_C8,Yan_aza_5A1,Yan_aza_C8
Yan_aza_5A1_C12,Yan_aza_5A1,Yan_aza_C12
Yan_aza_5A1_C18,Yan_aza_5A1,Yan_aza_C18
Yan_aza_5A1_2C4,Yan_aza_5A1,Yan_aza_2C4
Yan_aza_5A1_2C6,Yan_aza_5A1,Yan_aza_2C6
Yan_aza_5A1_2C8,Yan_aza_5A1,Yan_aza_2C8
Yan_aza_5A1_2C10,Yan_aza_5A1,Yan_aza_2C10
Yan_aza_6A1_C8,Yan_aza_6A1,Yan_aza_C8
Yan_aza_6A1_C12,Yan_aza_6A1,Yan_aza_C12
