Amine,Tail,Lipid_name,Num tails,MolWt,Value_name,Model_type,Target_or_delivered_gene,Delivery_target,Route_of_administration,Experiment_weight
Zhou_dendrimer_4A3,Zhou_dendrimer_SC2,Zhou_dendrimer_4A3-SC2,4,1298.886,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A1,Zhou_dendrimer_SC4,Zhou_dendrimer_4A1-SC4,4,1297.858,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A3,Zhou_dendrimer_SC5,Zhou_dendrimer_4A3-SC5,4,1298.886,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC6,Zhou_dendrimer_3A3-SC6,3,1066.585,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A3,Zhou_dendrimer_SC6,Zhou_dendrimer_4A3-SC6,4,1354.994,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC7,Zhou_dendrimer_3A3-SC7,3,1108.666,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A5,Zhou_dendrimer_SC7,Zhou_dendrimer_3A5-SC7,3,1137.708,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A1,Zhou_dendrimer_SC7,Zhou_dendrimer_4A1-SC7,4,1466.182,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A3,Zhou_dendrimer_SC7,Zhou_dendrimer_4A3-SC7,4,1411.102,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC8,Zhou_dendrimer_3A3-SC8,3,1150.747,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A5,Zhou_dendrimer_SC8,Zhou_dendrimer_3A5-SC8,3,1179.789,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A1,Zhou_dendrimer_SC8,Zhou_dendrimer_4A1-SC8,4,1522.29,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_4A3,Zhou_dendrimer_SC8,Zhou_dendrimer_4A3-SC8,4,1467.21,FFL silencing,HeLa,FFL,hela,in_vitro,1
Zhou_dendrimer_3A3,Zhou_dendrimer_SC9,Zhou_dendrimer_3A3-SC9,3,1192.828,FFL silencing,HeLa,FFL,hela,in_vitro,1
